name: model.layers.0.self_attn.q_proj.weight, type: torch.int8, ratio: 0.13663022220134735, diff: 9324.81640625, norm: 68248.5625
name: model.layers.0.self_attn.k_proj.weight, type: torch.int8, ratio: 0.09283073246479034, diff: 3189.07080078125, norm: 34353.609375
name: model.layers.0.self_attn.v_proj.weight, type: torch.int8, ratio: 0.15785802900791168, diff: 6195.0087890625, norm: 39244.1796875
name: model.layers.0.self_attn.o_proj.weight, type: torch.int8, ratio: 0.3988347351551056, diff: 38562.56640625, norm: 96688.0859375
name: model.layers.0.mlp.gate_proj.weight, type: torch.int8, ratio: 0.13911032676696777, diff: 22823.40625, norm: 164066.953125
name: model.layers.0.mlp.up_proj.weight, type: torch.int8, ratio: 0.16865622997283936, diff: 33540.203125, norm: 198867.265625
name: model.layers.0.mlp.down_proj.weight, type: torch.int8, ratio: 0.14562299847602844, diff: 30250.095703125, norm: 207728.84375
name: model.layers.0.input_layernorm.weight, type: torch.float16, ratio: 0.059201404452323914, diff: 0.37893998622894287, norm: 6.4008612632751465
name: model.layers.0.post_attention_layernorm.weight, type: torch.float16, ratio: 0.03293737396597862, diff: 0.2555227279663086, norm: 7.757835865020752
name: model.layers.1.self_attn.q_proj.weight, type: torch.int8, ratio: 0.14758029580116272, diff: 5601.4296875, norm: 37955.1328125
name: model.layers.1.self_attn.k_proj.weight, type: torch.int8, ratio: 0.12573938071727753, diff: 1879.9561767578125, norm: 14951.212890625
name: model.layers.1.self_attn.v_proj.weight, type: torch.int8, ratio: 0.14625245332717896, diff: 3623.2001953125, norm: 24773.603515625
name: model.layers.1.self_attn.o_proj.weight, type: torch.int8, ratio: 0.3908154368400574, diff: 42553.12109375, norm: 108882.90625
name: model.layers.1.mlp.gate_proj.weight, type: torch.int8, ratio: 0.10372646898031235, diff: 8041.490234375, norm: 77525.921875
name: model.layers.1.mlp.up_proj.weight, type: torch.int8, ratio: 0.11927073448896408, diff: 15299.51953125, norm: 128275.5546875
name: model.layers.1.mlp.down_proj.weight, type: torch.int8, ratio: 0.1358203887939453, diff: 24768.59375, norm: 182362.859375
name: model.layers.1.input_layernorm.weight, type: torch.float16, ratio: 0.4233459532260895, diff: 2.517366409301758, norm: 5.946357727050781
name: model.layers.1.post_attention_layernorm.weight, type: torch.float16, ratio: 0.020398680120706558, diff: 0.1846787929534912, norm: 9.053467750549316
name: model.layers.2.self_attn.q_proj.weight, type: torch.int8, ratio: 0.1452852487564087, diff: 8428.115234375, norm: 58010.8125
name: model.layers.2.self_attn.k_proj.weight, type: torch.int8, ratio: 0.10707147419452667, diff: 2035.3717041015625, norm: 19009.466796875
name: model.layers.2.self_attn.v_proj.weight, type: torch.int8, ratio: 0.16270168125629425, diff: 4903.53759765625, norm: 30138.2109375
name: model.layers.2.self_attn.o_proj.weight, type: torch.int8, ratio: 0.39029353857040405, diff: 43626.1953125, norm: 111777.90625
