name: model.layers.0.self_attn.q_proj.weight, type: torch.int8, ratio: 0.0254885982722044, diff: 1696.2906494140625, norm: 66550.9609375
name: model.layers.0.self_attn.k_proj.weight, type: torch.int8, ratio: 0.018897131085395813, diff: 641.1302490234375, norm: 33927.38671875
name: model.layers.0.self_attn.v_proj.weight, type: torch.int8, ratio: 0.01646699756383896, diff: 640.5575561523438, norm: 38899.47265625
name: model.layers.0.self_attn.o_proj.weight, type: torch.int8, ratio: 0.01587466523051262, diff: 1537.4908447265625, norm: 96851.859375
name: model.layers.0.mlp.gate_proj.weight, type: torch.int8, ratio: 0.023564321920275688, diff: 3858.619384765625, norm: 163748.375
name: model.layers.0.mlp.up_proj.weight, type: torch.int8, ratio: 0.020487001165747643, diff: 4064.3447265625, norm: 198386.515625
name: model.layers.0.mlp.down_proj.weight, type: torch.int8, ratio: 0.016138441860675812, diff: 3357.8505859375, norm: 208065.34375
name: model.layers.0.input_layernorm.weight, type: torch.float16, ratio: 0.0, diff: 0.0, norm: 6.300511837005615
name: model.layers.0.post_attention_layernorm.weight, type: torch.float16, ratio: 0.0, diff: 0.0, norm: 7.523930549621582
name: model.layers.1.self_attn.q_proj.weight, type: torch.int8, ratio: 0.0418657511472702, diff: 1588.15234375, norm: 37934.40625
name: model.layers.1.self_attn.k_proj.weight, type: torch.int8, ratio: 0.0404205322265625, diff: 601.5679321289062, norm: 14882.7314453125
name: model.layers.1.self_attn.v_proj.weight, type: torch.int8, ratio: 0.024581527337431908, diff: 610.128662109375, norm: 24820.6171875
name: model.layers.1.self_attn.o_proj.weight, type: torch.int8, ratio: 0.014058390632271767, diff: 1532.8291015625, norm: 109033.0390625
name: model.layers.1.mlp.gate_proj.weight, type: torch.int8, ratio: 0.0398867093026638, diff: 3025.70263671875, norm: 75857.4140625
name: model.layers.1.mlp.up_proj.weight, type: torch.int8, ratio: 0.026432113721966743, diff: 3365.09521484375, norm: 127310.8671875
name: model.layers.1.mlp.down_proj.weight, type: torch.int8, ratio: 0.022700129076838493, diff: 4142.59521484375, norm: 182492.140625
name: model.layers.1.input_layernorm.weight, type: torch.float16, ratio: 0.0, diff: 0.0, norm: 5.893723487854004
name: model.layers.1.post_attention_layernorm.weight, type: torch.float16, ratio: 0.0, diff: 0.0, norm: 8.99150562286377
name: model.layers.2.self_attn.q_proj.weight, type: torch.int8, ratio: 0.022672152146697044, diff: 1308.3443603515625, norm: 57707.109375
name: model.layers.2.self_attn.k_proj.weight, type: torch.int8, ratio: 0.02617613412439823, diff: 494.8292541503906, norm: 18903.83203125
name: model.layers.2.self_attn.v_proj.weight, type: torch.int8, ratio: 0.01639244146645069, diff: 494.19732666015625, norm: 30147.876953125
name: model.layers.2.self_attn.o_proj.weight, type: torch.int8, ratio: 0.011973659507930279, diff: 1339.3721923828125, norm: 111859.8828125
name: model.layers.2.mlp.gate_proj.weight, type: torch.int8, ratio: 0.03466354310512543, diff: 2831.661376953125, norm: 81689.8984375
name: model.layers.2.mlp.up_proj.weight, type: torch.int8, ratio: 0.020083457231521606, diff: 2988.31640625, norm: 148794.921875
name: model.layers.2.mlp.down_proj.weight, type: torch.int8, ratio: 0.014788744039833546, diff: 3059.59912109375, norm: 206887.015625
name: model.layers.2.input_layernorm.weight, type: torch.float16, ratio: 0.0, diff: 0.0, norm: 7.552173614501953
name: model.layers.2.post_attention_layernorm.weight, type: torch.float16, ratio: 0.0, diff: 0.0, norm: 8.777153968811035
name: model.layers.3.self_attn.q_proj.weight, type: torch.int8, ratio: 0.023584702983498573, diff: 1302.611572265625, norm: 55231.20703125
name: model.layers.3.self_attn.k_proj.weight, type: torch.int8, ratio: 0.027737541124224663, diff: 492.09246826171875, norm: 17741.02734375
name: model.layers.3.self_attn.v_proj.weight, type: torch.int8, ratio: 0.01869865506887436, diff: 492.61444091796875, norm: 26344.9140625
name: model.layers.3.self_attn.o_proj.weight, type: torch.int8, ratio: 0.011891243048012257, diff: 1262.185791015625, norm: 106144.140625
name: model.layers.3.mlp.gate_proj.weight, type: torch.int8, ratio: 0.025421863421797752, diff: 3019.576904296875, norm: 118778.7421875
name: model.layers.3.mlp.up_proj.weight, type: torch.int8, ratio: 0.014260057359933853, diff: 3020.09228515625, norm: 211786.828125
name: model.layers.3.mlp.down_proj.weight, type: torch.int8, ratio: 0.013605289161205292, diff: 2982.032958984375, norm: 219181.890625
name: model.layers.3.input_layernorm.weight, type: torch.float16, ratio: 0.0, diff: 0.0, norm: 7.053050994873047
name: model.layers.3.post_attention_layernorm.weight, type: torch.float16, ratio: 0.0, diff: 0.0, norm: 9.109797477722168
name: model.layers.4.self_attn.q_proj.weight, type: torch.int8, ratio: 0.023188501596450806, diff: 1309.866455078125, norm: 56487.7578125
name: model.layers.4.self_attn.k_proj.weight, type: torch.int8, ratio: 0.025844551622867584, diff: 495.5269775390625, norm: 19173.36328125
name: model.layers.4.self_attn.v_proj.weight, type: torch.int8, ratio: 0.01740349642932415, diff: 494.6261291503906, norm: 28421.078125
name: model.layers.4.self_attn.o_proj.weight, type: torch.int8, ratio: 0.01098023634403944, diff: 1193.4559326171875, norm: 108691.28125
name: model.layers.4.mlp.gate_proj.weight, type: torch.int8, ratio: 0.027498610317707062, diff: 3024.66650390625, norm: 109993.4296875
name: model.layers.4.mlp.up_proj.weight, type: torch.int8, ratio: 0.013229938223958015, diff: 3026.497314453125, norm: 228761.265625
name: model.layers.4.mlp.down_proj.weight, type: torch.int8, ratio: 0.009249616414308548, diff: 2088.9814453125, norm: 225845.1875
name: model.layers.4.input_layernorm.weight, type: torch.float16, ratio: 0.0, diff: 0.0, norm: 7.125995635986328
name: model.layers.4.post_attention_layernorm.weight, type: torch.float16, ratio: 0.0, diff: 0.0, norm: 8.933754920959473
name: model.layers.5.self_attn.q_proj.weight, type: torch.int8, ratio: 0.01958623342216015, diff: 1308.721923828125, norm: 66818.4609375
name: model.layers.5.self_attn.k_proj.weight, type: torch.int8, ratio: 0.02133076824247837, diff: 495.1686706542969, norm: 23213.822265625
name: model.layers.5.self_attn.v_proj.weight, type: torch.int8, ratio: 0.016058392822742462, diff: 494.2651062011719, norm: 30779.23828125
name: model.layers.5.self_attn.o_proj.weight, type: torch.int8, ratio: 0.010306754149496555, diff: 1158.593505859375, norm: 112411.09375
name: model.layers.5.mlp.gate_proj.weight, type: torch.int8, ratio: 0.03157549351453781, diff: 3009.79833984375, norm: 95320.7109375
name: model.layers.5.mlp.up_proj.weight, type: torch.int8, ratio: 0.01339018251746893, diff: 3012.695556640625, norm: 224992.875
name: model.layers.5.mlp.down_proj.weight, type: torch.int8, ratio: 0.012959717772901058, diff: 2919.7529296875, norm: 225294.484375
name: model.layers.5.input_layernorm.weight, type: torch.float16, ratio: 0.0, diff: 0.0, norm: 7.6103291511535645
name: model.layers.5.post_attention_layernorm.weight, type: torch.float16, ratio: 0.0, diff: 0.0, norm: 9.059097290039062
name: model.layers.6.self_attn.q_proj.weight, type: torch.int8, ratio: 0.021931670606136322, diff: 1311.6162109375, norm: 59804.6640625
name: model.layers.6.self_attn.k_proj.weight, type: torch.int8, ratio: 0.023786207661032677, diff: 495.2807312011719, norm: 20822.181640625
name: model.layers.6.self_attn.v_proj.weight, type: torch.int8, ratio: 0.016514984890818596, diff: 495.7065734863281, norm: 30015.5625
name: model.layers.6.self_attn.o_proj.weight, type: torch.int8, ratio: 0.01116643100976944, diff: 1224.555419921875, norm: 109663.9921875
name: model.layers.6.mlp.gate_proj.weight, type: torch.int8, ratio: 0.018881144002079964, diff: 3024.2138671875, norm: 160171.109375
name: model.layers.6.mlp.up_proj.weight, type: torch.int8, ratio: 0.011665062047541142, diff: 3025.4765625, norm: 259362.234375
name: model.layers.6.mlp.down_proj.weight, type: torch.int8, ratio: 0.014478218741714954, diff: 3292.766357421875, norm: 227428.96875
name: model.layers.6.input_layernorm.weight, type: torch.float16, ratio: 0.0, diff: 0.0, norm: 7.414433002471924
name: model.layers.6.post_attention_layernorm.weight, type: torch.float16, ratio: 0.0, diff: 0.0, norm: 8.232597351074219
name: model.layers.7.self_attn.q_proj.weight, type: torch.int8, ratio: 0.020414508879184723, diff: 1322.0283203125, norm: 64759.25390625
name: model.layers.7.self_attn.k_proj.weight, type: torch.int8, ratio: 0.026427701115608215, diff: 500.3608703613281, norm: 18933.197265625
name: model.layers.7.self_attn.v_proj.weight, type: torch.int8, ratio: 0.01613454893231392, diff: 500.0, norm: 30989.400390625
name: model.layers.7.self_attn.o_proj.weight, type: torch.int8, ratio: 0.011183738708496094, diff: 1215.2032470703125, norm: 108658.046875
name: model.layers.7.mlp.gate_proj.weight, type: torch.int8, ratio: 0.015701964497566223, diff: 3042.0751953125, norm: 193738.5
name: model.layers.7.mlp.up_proj.weight, type: torch.int8, ratio: 0.011908970773220062, diff: 3042.554931640625, norm: 255484.296875
name: model.layers.7.mlp.down_proj.weight, type: torch.int8, ratio: 0.012775245122611523, diff: 2894.03466796875, norm: 226534.5625
name: model.layers.7.input_layernorm.weight, type: torch.float16, ratio: 0.0, diff: 0.0, norm: 7.885835647583008
name: model.layers.7.post_attention_layernorm.weight, type: torch.float16, ratio: 0.0, diff: 0.0, norm: 8.201855659484863
name: model.layers.8.self_attn.q_proj.weight, type: torch.int8, ratio: 0.020786302164196968, diff: 1327.88330078125, norm: 63882.61328125
name: model.layers.8.self_attn.k_proj.weight, type: torch.int8, ratio: 0.023915385827422142, diff: 501.1706237792969, norm: 20955.9921875
name: model.layers.8.self_attn.v_proj.weight, type: torch.int8, ratio: 0.016448412090539932, diff: 502.3813171386719, norm: 30542.84765625
name: model.layers.8.self_attn.o_proj.weight, type: torch.int8, ratio: 0.010896306484937668, diff: 1163.6103515625, norm: 106789.4296875
name: model.layers.8.mlp.gate_proj.weight, type: torch.int8, ratio: 0.01610296219587326, diff: 3072.58349609375, norm: 190808.59375
name: model.layers.8.mlp.up_proj.weight, type: torch.int8, ratio: 0.011786840856075287, diff: 3074.63720703125, norm: 260853.375
name: model.layers.8.mlp.down_proj.weight, type: torch.int8, ratio: 0.013258990831673145, diff: 3001.9501953125, norm: 226408.640625
name: model.layers.8.input_layernorm.weight, type: torch.float16, ratio: 0.0, diff: 0.0, norm: 8.299869537353516
name: model.layers.8.post_attention_layernorm.weight, type: torch.float16, ratio: 0.0, diff: 0.0, norm: 8.655384063720703
