name: model.layers.0.self_attn.q_proj.weight, type: torch.int8, ratio: 0.02612227573990822, diff: 1731.760986328125, norm: 66294.4140625
name: model.layers.0.self_attn.k_proj.weight, type: torch.int8, ratio: 0.019630562514066696, diff: 664.5554809570312, norm: 33853.10546875
name: model.layers.0.self_attn.v_proj.weight, type: torch.int8, ratio: 0.019002655521035194, diff: 738.2079467773438, norm: 38847.62109375
name: model.layers.0.self_attn.o_proj.weight, type: torch.int8, ratio: 0.0165391955524683, diff: 1601.4705810546875, norm: 96828.8125
name: model.layers.0.mlp.gate_proj.weight, type: torch.int8, ratio: 0.02413961850106716, diff: 3949.8076171875, norm: 163623.453125
name: model.layers.0.mlp.up_proj.weight, type: torch.int8, ratio: 0.021184172481298447, diff: 4198.896484375, norm: 198209.140625
name: model.layers.0.mlp.down_proj.weight, type: torch.int8, ratio: 0.01665673404932022, diff: 3465.03369140625, norm: 208026.0
name: model.layers.0.input_layernorm.weight, type: torch.float16, ratio: 0.008042287081480026, diff: 0.05063709616661072, norm: 6.296355247497559
name: model.layers.0.post_attention_layernorm.weight, type: torch.float16, ratio: 0.4270859658718109, diff: 3.2046754360198975, norm: 7.503583908081055
name: model.layers.1.self_attn.q_proj.weight, type: torch.int8, ratio: 0.0423102043569088, diff: 1603.7010498046875, norm: 37903.41015625
name: model.layers.1.self_attn.k_proj.weight, type: torch.int8, ratio: 0.04098625108599663, diff: 609.0820922851562, norm: 14860.6435546875
name: model.layers.1.self_attn.v_proj.weight, type: torch.int8, ratio: 0.026354912668466568, diff: 653.1049194335938, norm: 24781.14453125
name: model.layers.1.self_attn.o_proj.weight, type: torch.int8, ratio: 0.014653748832643032, diff: 1597.3853759765625, norm: 109008.6484375
name: model.layers.1.mlp.gate_proj.weight, type: torch.int8, ratio: 0.04042266309261322, diff: 3062.87060546875, norm: 75771.125
name: model.layers.1.mlp.up_proj.weight, type: torch.int8, ratio: 0.027187786996364594, diff: 3455.747314453125, norm: 127106.609375
name: model.layers.1.mlp.down_proj.weight, type: torch.int8, ratio: 0.023178162053227425, diff: 4228.82568359375, norm: 182448.703125
name: model.layers.1.input_layernorm.weight, type: torch.float16, ratio: 0.04953726381063461, diff: 0.29160159826278687, norm: 5.886509895324707
name: model.layers.1.post_attention_layernorm.weight, type: torch.float16, ratio: 0.00019554918981157243, diff: 0.001753167831338942, norm: 8.965354919433594
