layernorm: model.layers.0.input_layernorm.weight, dead_neurons_mask ct: 2.0
layernorm: model.layers.0.post_attention_layernorm.weight, dead_neurons_mask ct: 18.0
layernorm: model.layers.1.input_layernorm.weight, dead_neurons_mask ct: 110.0
layernorm: model.layers.1.post_attention_layernorm.weight, dead_neurons_mask ct: 680.0
layernorm: model.layers.2.input_layernorm.weight, dead_neurons_mask ct: 328.0
layernorm: model.layers.2.post_attention_layernorm.weight, dead_neurons_mask ct: 3.0
layernorm: model.layers.3.input_layernorm.weight, dead_neurons_mask ct: 294.0
layernorm: model.layers.3.post_attention_layernorm.weight, dead_neurons_mask ct: 1.0
layernorm: model.layers.4.input_layernorm.weight, dead_neurons_mask ct: 103.0
layernorm: model.layers.4.post_attention_layernorm.weight, dead_neurons_mask ct: 1.0
layernorm: model.layers.5.input_layernorm.weight, dead_neurons_mask ct: 15.0
layernorm: model.layers.5.post_attention_layernorm.weight, dead_neurons_mask ct: 1.0
layernorm: model.layers.6.input_layernorm.weight, dead_neurons_mask ct: 9.0
layernorm: model.layers.6.post_attention_layernorm.weight, dead_neurons_mask ct: 1.0
layernorm: model.layers.7.input_layernorm.weight, dead_neurons_mask ct: 12.0
layernorm: model.layers.7.post_attention_layernorm.weight, dead_neurons_mask ct: 1.0
layernorm: model.layers.8.input_layernorm.weight, dead_neurons_mask ct: 8.0
layernorm: model.layers.8.post_attention_layernorm.weight, dead_neurons_mask ct: 0.0
layernorm: model.layers.9.input_layernorm.weight, dead_neurons_mask ct: 9.0
layernorm: model.layers.9.post_attention_layernorm.weight, dead_neurons_mask ct: 1.0
layernorm: model.layers.10.input_layernorm.weight, dead_neurons_mask ct: 5.0
layernorm: model.layers.10.post_attention_layernorm.weight, dead_neurons_mask ct: 0.0
layernorm: model.layers.11.input_layernorm.weight, dead_neurons_mask ct: 3.0
layernorm: model.layers.11.post_attention_layernorm.weight, dead_neurons_mask ct: 0.0
layernorm: model.layers.12.input_layernorm.weight, dead_neurons_mask ct: 4.0
layernorm: model.layers.12.post_attention_layernorm.weight, dead_neurons_mask ct: 0.0
layernorm: model.layers.13.input_layernorm.weight, dead_neurons_mask ct: 5.0
layernorm: model.layers.13.post_attention_layernorm.weight, dead_neurons_mask ct: 0.0
layernorm: model.layers.14.input_layernorm.weight, dead_neurons_mask ct: 4.0
layernorm: model.layers.14.post_attention_layernorm.weight, dead_neurons_mask ct: 0.0
layernorm: model.layers.15.input_layernorm.weight, dead_neurons_mask ct: 3.0
layernorm: model.layers.15.post_attention_layernorm.weight, dead_neurons_mask ct: 0.0
layernorm: model.layers.16.input_layernorm.weight, dead_neurons_mask ct: 2.0
layernorm: model.layers.16.post_attention_layernorm.weight, dead_neurons_mask ct: 0.0
layernorm: model.layers.17.input_layernorm.weight, dead_neurons_mask ct: 2.0
layernorm: model.layers.17.post_attention_layernorm.weight, dead_neurons_mask ct: 0.0
layernorm: model.layers.18.input_layernorm.weight, dead_neurons_mask ct: 2.0
layernorm: model.layers.18.post_attention_layernorm.weight, dead_neurons_mask ct: 0.0
layernorm: model.layers.19.input_layernorm.weight, dead_neurons_mask ct: 2.0
layernorm: model.layers.19.post_attention_layernorm.weight, dead_neurons_mask ct: 0.0
layernorm: model.layers.20.input_layernorm.weight, dead_neurons_mask ct: 2.0
layernorm: model.layers.20.post_attention_layernorm.weight, dead_neurons_mask ct: 0.0
layernorm: model.layers.21.input_layernorm.weight, dead_neurons_mask ct: 1.0
layernorm: model.layers.21.post_attention_layernorm.weight, dead_neurons_mask ct: 0.0
layernorm: model.layers.22.input_layernorm.weight, dead_neurons_mask ct: 2.0
layernorm: model.layers.22.post_attention_layernorm.weight, dead_neurons_mask ct: 0.0
layernorm: model.layers.23.input_layernorm.weight, dead_neurons_mask ct: 1.0
layernorm: model.layers.23.post_attention_layernorm.weight, dead_neurons_mask ct: 0.0
layernorm: model.layers.24.input_layernorm.weight, dead_neurons_mask ct: 2.0
layernorm: model.layers.24.post_attention_layernorm.weight, dead_neurons_mask ct: 0.0
layernorm: model.layers.25.input_layernorm.weight, dead_neurons_mask ct: 2.0
layernorm: model.layers.25.post_attention_layernorm.weight, dead_neurons_mask ct: 0.0
layernorm: model.layers.26.input_layernorm.weight, dead_neurons_mask ct: 0.0
layernorm: model.layers.26.post_attention_layernorm.weight, dead_neurons_mask ct: 0.0
layernorm: model.layers.27.input_layernorm.weight, dead_neurons_mask ct: 1.0
layernorm: model.layers.27.post_attention_layernorm.weight, dead_neurons_mask ct: 0.0
