name: model.layers.0.input_layernorm.weight, type: torch.float16, ratio: 0.020287754014134407, diff: 0.16262321174144745, norm: 8.015830993652344
name: model.layers.0.post_attention_layernorm.weight, type: torch.float16, ratio: 0.08635199069976807, diff: 0.9886995553970337, norm: 11.449644088745117
name: model.layers.1.input_layernorm.weight, type: torch.float16, ratio: 0.7091206908226013, diff: 4.64748477935791, norm: 6.55387020111084
name: model.layers.1.post_attention_layernorm.weight, type: torch.float16, ratio: 0.13439656794071198, diff: 1.3246824741363525, norm: 9.856520652770996
name: model.layers.2.input_layernorm.weight, type: torch.float16, ratio: 1.0245569944381714, diff: 8.470820426940918, norm: 8.26778793334961
name: model.layers.2.post_attention_layernorm.weight, type: torch.float16, ratio: 0.0011424627155065536, diff: 0.013629073277115822, norm: 11.929555892944336
name: model.layers.3.input_layernorm.weight, type: torch.float16, ratio: 0.5161251425743103, diff: 4.754148960113525, norm: 9.211233139038086
name: model.layers.3.post_attention_layernorm.weight, type: torch.float16, ratio: 0.02129245549440384, diff: 0.25108352303504944, norm: 11.792135238647461
name: model.layers.4.input_layernorm.weight, type: torch.float16, ratio: 0.563096284866333, diff: 5.4871063232421875, norm: 9.744525909423828
name: model.layers.4.post_attention_layernorm.weight, type: torch.float16, ratio: 0.001802117913030088, diff: 0.02142929472029209, norm: 11.891172409057617
name: model.layers.5.input_layernorm.weight, type: torch.float16, ratio: 0.27842631936073303, diff: 2.8537065982818604, norm: 10.24941349029541
name: model.layers.5.post_attention_layernorm.weight, type: torch.float16, ratio: 0.003589773550629616, diff: 0.04057794809341431, norm: 11.303762435913086
name: model.layers.6.input_layernorm.weight, type: torch.float16, ratio: 0.05237847566604614, diff: 0.528717577457428, norm: 10.094176292419434
name: model.layers.6.post_attention_layernorm.weight, type: torch.float16, ratio: 0.0022275992669165134, diff: 0.02471768483519554, norm: 11.096109390258789
name: model.layers.7.input_layernorm.weight, type: torch.float16, ratio: 0.15404394268989563, diff: 1.557138442993164, norm: 10.108404159545898
name: model.layers.7.post_attention_layernorm.weight, type: torch.float16, ratio: 0.004362058360129595, diff: 0.04758637025952339, norm: 10.909154891967773
name: model.layers.8.input_layernorm.weight, type: torch.float16, ratio: 0.019970295950770378, diff: 0.19305025041103363, norm: 9.6668701171875
name: model.layers.8.post_attention_layernorm.weight, type: torch.float16, ratio: 0.0012486644554883242, diff: 0.013246615417301655, norm: 10.608627319335938
name: model.layers.9.input_layernorm.weight, type: torch.float16, ratio: 0.01631530560553074, diff: 0.16547970473766327, norm: 10.142605781555176
name: model.layers.9.post_attention_layernorm.weight, type: torch.float16, ratio: 0.0031399207655340433, diff: 0.032597944140434265, norm: 10.381772994995117
name: model.layers.10.input_layernorm.weight, type: torch.float16, ratio: 0.01714792288839817, diff: 0.1815914660692215, norm: 10.589706420898438
name: model.layers.10.post_attention_layernorm.weight, type: torch.float16, ratio: 0.0025651513133198023, diff: 0.027166040614247322, norm: 10.590424537658691
name: model.layers.11.input_layernorm.weight, type: torch.float16, ratio: 0.015621241182088852, diff: 0.16220341622829437, norm: 10.383516311645508
name: model.layers.11.post_attention_layernorm.weight, type: torch.float16, ratio: 0.001179901068098843, diff: 0.012881900183856487, norm: 10.917779922485352
name: model.layers.12.input_layernorm.weight, type: torch.float16, ratio: 0.030827345326542854, diff: 0.32444438338279724, norm: 10.524564743041992
name: model.layers.12.post_attention_layernorm.weight, type: torch.float16, ratio: 0.0012175211450085044, diff: 0.013195520266890526, norm: 10.838021278381348
name: model.layers.13.input_layernorm.weight, type: torch.float16, ratio: 0.02207104116678238, diff: 0.22860577702522278, norm: 10.357725143432617
name: model.layers.13.post_attention_layernorm.weight, type: torch.float16, ratio: 0.0031441838946193457, diff: 0.0339309461414814, norm: 10.791654586791992
name: model.layers.14.input_layernorm.weight, type: torch.float16, ratio: 0.019487475976347923, diff: 0.20564687252044678, norm: 10.552770614624023
name: model.layers.14.post_attention_layernorm.weight, type: torch.float16, ratio: 0.0020727538503706455, diff: 0.022423909977078438, norm: 10.818414688110352
name: model.layers.15.input_layernorm.weight, type: torch.float16, ratio: 0.5995997190475464, diff: 6.459070205688477, norm: 10.772303581237793
name: model.layers.15.post_attention_layernorm.weight, type: torch.float16, ratio: 0.0006355513469316065, diff: 0.006975611671805382, norm: 10.975685119628906
name: model.layers.16.input_layernorm.weight, type: torch.float16, ratio: 0.005833434872329235, diff: 0.06176996976137161, norm: 10.588953018188477
name: model.layers.16.post_attention_layernorm.weight, type: torch.float16, ratio: 0.0007204737630672753, diff: 0.007960954681038857, norm: 11.04961109161377
name: model.layers.17.input_layernorm.weight, type: torch.float16, ratio: 0.012212992645800114, diff: 0.13260309398174286, norm: 10.857542991638184
name: model.layers.17.post_attention_layernorm.weight, type: torch.float16, ratio: 0.011039494536817074, diff: 0.12176523357629776, norm: 11.029964447021484
name: model.layers.18.input_layernorm.weight, type: torch.float16, ratio: 0.015196239575743675, diff: 0.16408303380012512, norm: 10.797607421875
name: model.layers.18.post_attention_layernorm.weight, type: torch.float16, ratio: 0.00196636444889009, diff: 0.02159183844923973, norm: 10.98058795928955
name: model.layers.19.input_layernorm.weight, type: torch.float16, ratio: 0.05511818826198578, diff: 0.6014494299888611, norm: 10.911995887756348
name: model.layers.19.post_attention_layernorm.weight, type: torch.float16, ratio: 0.0004195226647425443, diff: 0.00462927483022213, norm: 11.034624099731445
name: model.layers.20.input_layernorm.weight, type: torch.float16, ratio: 0.012064800597727299, diff: 0.12971247732639313, norm: 10.751315116882324
name: model.layers.20.post_attention_layernorm.weight, type: torch.float16, ratio: 0.00099555728957057, diff: 0.010982777923345566, norm: 11.03178882598877
name: model.layers.21.input_layernorm.weight, type: torch.float16, ratio: 0.0014321801718324423, diff: 0.015738479793071747, norm: 10.989175796508789
name: model.layers.21.post_attention_layernorm.weight, type: torch.float16, ratio: 0.0006184024387039244, diff: 0.006824105512350798, norm: 11.035056114196777
name: model.layers.22.input_layernorm.weight, type: torch.float16, ratio: 0.0048635900020599365, diff: 0.054160814732313156, norm: 11.135974884033203
name: model.layers.22.post_attention_layernorm.weight, type: torch.float16, ratio: 9.590507397660986e-05, diff: 0.0010655235964804888, norm: 11.110190391540527
name: model.layers.23.input_layernorm.weight, type: torch.float16, ratio: 0.010100371204316616, diff: 0.1136215478181839, norm: 11.249244689941406
name: model.layers.23.post_attention_layernorm.weight, type: torch.float16, ratio: 0.0004677056276705116, diff: 0.005238100420683622, norm: 11.199566841125488
name: model.layers.24.input_layernorm.weight, type: torch.float16, ratio: 0.0018715329933911562, diff: 0.021077310666441917, norm: 11.262056350708008
name: model.layers.24.post_attention_layernorm.weight, type: torch.float16, ratio: 0.00046199304051697254, diff: 0.005181184038519859, norm: 11.214853286743164
name: model.layers.25.input_layernorm.weight, type: torch.float16, ratio: 0.03196725249290466, diff: 0.3634208142757416, norm: 11.368534088134766
name: model.layers.25.post_attention_layernorm.weight, type: torch.float16, ratio: 2.1227468096185476e-05, diff: 0.00023552474158350378, norm: 11.095281600952148
name: model.layers.26.input_layernorm.weight, type: torch.float16, ratio: 0.009049994871020317, diff: 0.10123319923877716, norm: 11.185995101928711
name: model.layers.26.post_attention_layernorm.weight, type: torch.float16, ratio: 0.003219461301341653, diff: 0.03549249842762947, norm: 11.024359703063965
name: model.layers.27.input_layernorm.weight, type: torch.float16, ratio: 0.0007448080577887595, diff: 0.0082432571798563, norm: 11.067625999450684
name: model.layers.27.post_attention_layernorm.weight, type: torch.float16, ratio: 0.00012280684313736856, diff: 0.0013427734375, norm: 10.934027671813965
name: model.layers.28.input_layernorm.weight, type: torch.float16, ratio: 0.0012059732107445598, diff: 0.013279835693538189, norm: 11.011716842651367
name: model.layers.28.post_attention_layernorm.weight, type: torch.float16, ratio: 0.00025169033324345946, diff: 0.00273895263671875, norm: 10.882232666015625
name: model.layers.29.input_layernorm.weight, type: torch.float16, ratio: 0.00784798339009285, diff: 0.08562769740819931, norm: 10.91079044342041
name: model.layers.29.post_attention_layernorm.weight, type: torch.float16, ratio: 5.5744290875736624e-05, diff: 0.000598907470703125, norm: 10.74383544921875
name: model.layers.30.input_layernorm.weight, type: torch.float16, ratio: 0.00413596211001277, diff: 0.04480629786849022, norm: 10.833343505859375
name: model.layers.30.post_attention_layernorm.weight, type: torch.float16, ratio: 0.0008376808254979551, diff: 0.00890350341796875, norm: 10.628753662109375
name: model.layers.31.input_layernorm.weight, type: torch.float16, ratio: 0.004119314253330231, diff: 0.04441465064883232, norm: 10.782050132751465
name: model.layers.31.post_attention_layernorm.weight, type: torch.float16, ratio: 0.0009462138987146318, diff: 0.01007080078125, norm: 10.64326000213623
name: model.layers.32.input_layernorm.weight, type: torch.float16, ratio: 0.0017580905696377158, diff: 0.018585333600640297, norm: 10.571317672729492
name: model.layers.32.post_attention_layernorm.weight, type: torch.float16, ratio: 0.0006835077656432986, diff: 0.007501312997192144, norm: 10.974729537963867
name: model.layers.33.input_layernorm.weight, type: torch.float16, ratio: 0.0033938009291887283, diff: 0.03794277831912041, norm: 11.180025100708008
name: model.layers.33.post_attention_layernorm.weight, type: torch.float16, ratio: 0.00015036411059554666, diff: 0.001678466796875, norm: 11.16268253326416
name: model.layers.34.input_layernorm.weight, type: torch.float16, ratio: 0.0036661899648606777, diff: 0.04147836193442345, norm: 11.313751220703125
name: model.layers.34.post_attention_layernorm.weight, type: torch.float16, ratio: 0.000772363506257534, diff: 0.008741378784179688, norm: 11.317700386047363
name: model.layers.35.input_layernorm.weight, type: torch.float16, ratio: 0.008824422024190426, diff: 0.10176119953393936, norm: 11.531768798828125
name: model.layers.35.post_attention_layernorm.weight, type: torch.float16, ratio: 0.001031427993439138, diff: 0.011882781982421875, norm: 11.520709037780762
name: model.layers.36.input_layernorm.weight, type: torch.float16, ratio: 0.006887591909617186, diff: 0.08048954606056213, norm: 11.686166763305664
name: model.layers.36.post_attention_layernorm.weight, type: torch.float16, ratio: 0.00245272065512836, diff: 0.028723465278744698, norm: 11.710859298706055
name: model.layers.37.input_layernorm.weight, type: torch.float16, ratio: 7.947106496430933e-05, diff: 0.0009530942770652473, norm: 11.992972373962402
name: model.layers.37.post_attention_layernorm.weight, type: torch.float16, ratio: 0.0001710817450657487, diff: 0.0020246091298758984, norm: 11.834161758422852
name: model.layers.38.input_layernorm.weight, type: torch.float16, ratio: 0.002587235067039728, diff: 0.031510114669799805, norm: 12.179068565368652
name: model.layers.38.post_attention_layernorm.weight, type: torch.float16, ratio: 0.0031040834728628397, diff: 0.03753662109375, norm: 12.092658042907715
name: model.layers.39.input_layernorm.weight, type: torch.float16, ratio: 0.0014694667188450694, diff: 0.018108675256371498, norm: 12.323297500610352
name: model.layers.39.post_attention_layernorm.weight, type: torch.float16, ratio: 0.009034347720444202, diff: 0.10809326171875, norm: 11.964699745178223
name: model.layers.40.input_layernorm.weight, type: torch.float16, ratio: 0.000605924054980278, diff: 0.007432549726217985, norm: 12.266470909118652
name: model.layers.40.post_attention_layernorm.weight, type: torch.float16, ratio: 0.0004689800553023815, diff: 0.00565338134765625, norm: 12.054630279541016
name: model.layers.41.input_layernorm.weight, type: torch.float16, ratio: 0.0023667688947170973, diff: 0.02939855307340622, norm: 12.421387672424316
name: model.layers.41.post_attention_layernorm.weight, type: torch.float16, ratio: 0.0004429450782481581, diff: 0.00530242919921875, norm: 11.970849990844727
name: model.layers.42.input_layernorm.weight, type: torch.float16, ratio: 0.0007785414927639067, diff: 0.009422997012734413, norm: 12.103397369384766
name: model.layers.42.post_attention_layernorm.weight, type: torch.float16, ratio: 0.0003032524837180972, diff: 0.0035845572128891945, norm: 11.820372581481934
name: model.layers.43.input_layernorm.weight, type: torch.float16, ratio: 0.001300796284340322, diff: 0.015533447265625, norm: 11.94149112701416
name: model.layers.43.post_attention_layernorm.weight, type: torch.float16, ratio: 0.001973746344447136, diff: 0.022979736328125, norm: 11.6427001953125
name: model.layers.44.input_layernorm.weight, type: torch.float16, ratio: 0.0015996260335668921, diff: 0.018697435036301613, norm: 11.688629150390625
name: model.layers.44.post_attention_layernorm.weight, type: torch.float16, ratio: 0.0020904196426272392, diff: 0.0240478515625, norm: 11.503839492797852
name: model.layers.45.input_layernorm.weight, type: torch.float16, ratio: 0.0028230624739080667, diff: 0.03240637853741646, norm: 11.479157447814941
name: model.layers.45.post_attention_layernorm.weight, type: torch.float16, ratio: 0.00039472494972869754, diff: 0.00443267822265625, norm: 11.229789733886719
name: model.layers.46.input_layernorm.weight, type: torch.float16, ratio: 0.001748544629663229, diff: 0.019639428704977036, norm: 11.231871604919434
name: model.layers.46.post_attention_layernorm.weight, type: torch.float16, ratio: 0.0029370973352342844, diff: 0.0322723388671875, norm: 10.987833976745605
name: model.layers.47.input_layernorm.weight, type: torch.float16, ratio: 6.290101737249643e-06, diff: 6.866455078125e-05, norm: 10.91628646850586
name: model.layers.47.post_attention_layernorm.weight, type: torch.float16, ratio: 0.0008840642403811216, diff: 0.009588241577148438, norm: 10.8456392288208
name: model.layers.48.input_layernorm.weight, type: torch.float16, ratio: 6.396226672222838e-05, diff: 0.0006817537359893322, norm: 10.658686637878418
name: model.layers.48.post_attention_layernorm.weight, type: torch.float16, ratio: 8.838793291943148e-05, diff: 0.000934600830078125, norm: 10.573850631713867
name: model.layers.49.input_layernorm.weight, type: torch.float16, ratio: 2.760818097158335e-05, diff: 0.00028719374677166343, norm: 10.402486801147461
name: model.layers.49.post_attention_layernorm.weight, type: torch.float16, ratio: 0.00012509332736954093, diff: 0.001293182373046875, norm: 10.337740898132324
name: model.layers.50.input_layernorm.weight, type: torch.float16, ratio: 0.007962238043546677, diff: 0.08093438297510147, norm: 10.164777755737305
name: model.layers.50.post_attention_layernorm.weight, type: torch.float16, ratio: 0.0011607507476583123, diff: 0.0118408203125, norm: 10.201001167297363
name: model.layers.51.input_layernorm.weight, type: torch.float16, ratio: 9.413423867954407e-06, diff: 9.312862675869837e-05, norm: 9.893172264099121
name: model.layers.51.post_attention_layernorm.weight, type: torch.float16, ratio: 0.0002687496889848262, diff: 0.0027294158935546875, norm: 10.155978202819824
name: model.layers.52.input_layernorm.weight, type: torch.float16, ratio: 0.002105380641296506, diff: 0.0209323950111866, norm: 9.94233226776123
name: model.layers.52.post_attention_layernorm.weight, type: torch.float16, ratio: 0.0, diff: 0.0, norm: 9.988516807556152
name: model.layers.53.input_layernorm.weight, type: torch.float16, ratio: 0.00043438546708785, diff: 0.004178129602223635, norm: 9.618483543395996
name: model.layers.53.post_attention_layernorm.weight, type: torch.float16, ratio: 0.0003933082043658942, diff: 0.0038909912109375, norm: 9.892982482910156
name: model.layers.54.input_layernorm.weight, type: torch.float16, ratio: 1.6232923371717334e-05, diff: 0.00015448346675839275, norm: 9.51667594909668
name: model.layers.54.post_attention_layernorm.weight, type: torch.float16, ratio: 0.0007677830872125924, diff: 0.0075256614945828915, norm: 9.801806449890137
name: model.layers.55.input_layernorm.weight, type: torch.float16, ratio: 0.0004523734387475997, diff: 0.004280144814401865, norm: 9.461529731750488
name: model.layers.55.post_attention_layernorm.weight, type: torch.float16, ratio: 0.000808709126431495, diff: 0.007866275496780872, norm: 9.72695255279541
name: model.layers.56.input_layernorm.weight, type: torch.float16, ratio: 0.006455162540078163, diff: 0.06073770299553871, norm: 9.409167289733887
name: model.layers.56.post_attention_layernorm.weight, type: torch.float16, ratio: 0.0003253666509408504, diff: 0.00315093994140625, norm: 9.684274673461914
name: model.layers.57.input_layernorm.weight, type: torch.float16, ratio: 1.4652397112513427e-05, diff: 0.0001375408610329032, norm: 9.386919021606445
name: model.layers.57.post_attention_layernorm.weight, type: torch.float16, ratio: 0.0006877925479784608, diff: 0.0066454410552978516, norm: 9.66198444366455
name: model.layers.58.input_layernorm.weight, type: torch.float16, ratio: 0.0024007055908441544, diff: 0.02196045033633709, norm: 9.14749813079834
name: model.layers.58.post_attention_layernorm.weight, type: torch.float16, ratio: 0.0003109007375314832, diff: 0.0029985171277076006, norm: 9.644612312316895
name: model.layers.59.input_layernorm.weight, type: torch.float16, ratio: 0.00016905894153751433, diff: 0.0015900104772299528, norm: 9.405065536499023
name: model.layers.59.post_attention_layernorm.weight, type: torch.float16, ratio: 0.0012993752025067806, diff: 0.012723543681204319, norm: 9.792047500610352
name: model.layers.60.input_layernorm.weight, type: torch.float16, ratio: 0.0002306210808455944, diff: 0.0021884131710976362, norm: 9.489215850830078
name: model.layers.60.post_attention_layernorm.weight, type: torch.float16, ratio: 0.00012176122254459187, diff: 0.0012057581916451454, norm: 9.902645111083984
name: model.layers.61.input_layernorm.weight, type: torch.float16, ratio: 0.0059797028079628944, diff: 0.05722112953662872, norm: 9.569226264953613
name: model.layers.61.post_attention_layernorm.weight, type: torch.float16, ratio: 0.0003664303512778133, diff: 0.0036644788924604654, norm: 10.000478744506836
name: model.layers.62.input_layernorm.weight, type: torch.float16, ratio: 0.007069366052746773, diff: 0.07162957638502121, norm: 10.132390022277832
name: model.layers.62.post_attention_layernorm.weight, type: torch.float16, ratio: 0.0016837392468005419, diff: 0.01814594864845276, norm: 10.777173042297363
name: model.layers.63.input_layernorm.weight, type: torch.float16, ratio: 9.307589607487898e-06, diff: 0.00010264300362905487, norm: 11.02788257598877
name: model.layers.63.post_attention_layernorm.weight, type: torch.float16, ratio: 0.0, diff: 0.0, norm: 11.38647174835205
name: model.layers.0.self_attn.q_proj.weight, type: torch.int8, ratio: 0.020443996414542198, diff: 1764.3126220703125, norm: 86299.7890625
name: model.layers.0.self_attn.k_proj.weight, type: torch.int8, ratio: 0.01648198813199997, diff: 799.0469360351562, norm: 48480.01171875
name: model.layers.0.self_attn.v_proj.weight, type: torch.int8, ratio: 0.014504872262477875, diff: 911.2913818359375, norm: 62826.5703125
name: model.layers.0.self_attn.o_proj.weight, type: torch.int8, ratio: 0.015395253896713257, diff: 2111.873046875, norm: 137176.890625
name: model.layers.0.mlp.gate_proj.weight, type: torch.int8, ratio: 0.02856072597205639, diff: 5205.30712890625, norm: 182254.015625
name: model.layers.0.mlp.up_proj.weight, type: torch.int8, ratio: 0.02603052742779255, diff: 5243.35302734375, norm: 201430.921875
