name: model.layers.0.input_layernorm.weight, type: torch.float16, ratio: 0.007742755115032196, diff: 0.055202681571245193, norm: 7.129591464996338
name: model.layers.0.post_attention_layernorm.weight, type: torch.float16, ratio: 0.02877320908010006, diff: 0.27037087082862854, norm: 9.396618843078613
name: model.layers.1.input_layernorm.weight, type: torch.float16, ratio: 0.32635560631752014, diff: 1.3059006929397583, norm: 4.001465320587158
name: model.layers.1.post_attention_layernorm.weight, type: torch.float16, ratio: 0.04226091876626015, diff: 0.3487330377101898, norm: 8.251903533935547
name: model.layers.2.input_layernorm.weight, type: torch.float16, ratio: 0.8642475008964539, diff: 5.103471755981445, norm: 5.905104637145996
name: model.layers.2.post_attention_layernorm.weight, type: torch.float16, ratio: 0.0005106051685288548, diff: 0.005426979158073664, norm: 10.628523826599121
name: model.layers.3.input_layernorm.weight, type: torch.float16, ratio: 0.148924320936203, diff: 1.082840919494629, norm: 7.271081924438477
name: model.layers.3.post_attention_layernorm.weight, type: torch.float16, ratio: 0.006851451937109232, diff: 0.07317578047513962, norm: 10.68033218383789
name: model.layers.4.input_layernorm.weight, type: torch.float16, ratio: 0.14605702459812164, diff: 1.1559536457061768, norm: 7.91439962387085
name: model.layers.4.post_attention_layernorm.weight, type: torch.float16, ratio: 0.0007424175273627043, diff: 0.00837192963808775, norm: 11.276578903198242
name: model.layers.5.input_layernorm.weight, type: torch.float16, ratio: 0.176182821393013, diff: 1.589086651802063, norm: 9.019532203674316
name: model.layers.5.post_attention_layernorm.weight, type: torch.float16, ratio: 0.0012753658229485154, diff: 0.013889261521399021, norm: 10.890414237976074
name: model.layers.6.input_layernorm.weight, type: torch.float16, ratio: 0.015387505292892456, diff: 0.13900110125541687, norm: 9.033374786376953
name: model.layers.6.post_attention_layernorm.weight, type: torch.float16, ratio: 0.0007740537985228002, diff: 0.008353219367563725, norm: 10.791522979736328
name: model.layers.7.input_layernorm.weight, type: torch.float16, ratio: 0.03614996373653412, diff: 0.33604541420936584, norm: 9.29587173461914
name: model.layers.7.post_attention_layernorm.weight, type: torch.float16, ratio: 0.0016224686987698078, diff: 0.017372850328683853, norm: 10.707664489746094
