name: model.layers.0.input_layernorm.weight, type: torch.float16, ratio: 0.007752925623208284, diff: 0.055202681571245193, norm: 7.120238780975342
name: model.layers.0.post_attention_layernorm.weight, type: torch.float16, ratio: 0.028655273839831352, diff: 0.2685805857181549, norm: 9.372815132141113
name: model.layers.1.input_layernorm.weight, type: torch.float16, ratio: 0.3204785883426666, diff: 1.2804845571517944, norm: 3.9955384731292725
name: model.layers.1.post_attention_layernorm.weight, type: torch.float16, ratio: 0.042120203375816345, diff: 0.34698787331581116, norm: 8.238039016723633
name: model.layers.2.input_layernorm.weight, type: torch.float16, ratio: 0.8658938407897949, diff: 5.105618953704834, norm: 5.896356582641602
name: model.layers.2.post_attention_layernorm.weight, type: torch.float16, ratio: 0.0005261045880615711, diff: 0.0055824401788413525, norm: 10.610894203186035
name: model.layers.3.input_layernorm.weight, type: torch.float16, ratio: 0.15178287029266357, diff: 1.100160002708435, norm: 7.24824857711792
name: model.layers.3.post_attention_layernorm.weight, type: torch.float16, ratio: 0.006921741645783186, diff: 0.0737103521823883, norm: 10.649105072021484
name: model.layers.4.input_layernorm.weight, type: torch.float16, ratio: 0.14256922900676727, diff: 1.1247949600219727, norm: 7.889464855194092
name: model.layers.4.post_attention_layernorm.weight, type: torch.float16, ratio: 0.0007469576084986329, diff: 0.008384336717426777, norm: 11.224648475646973
name: model.layers.5.input_layernorm.weight, type: torch.float16, ratio: 0.17221418023109436, diff: 1.546931505203247, norm: 8.9826021194458
name: model.layers.5.post_attention_layernorm.weight, type: torch.float16, ratio: 0.0013329499633982778, diff: 0.014470946975052357, norm: 10.856331825256348
name: model.layers.6.input_layernorm.weight, type: torch.float16, ratio: 0.01497348677366972, diff: 0.13478410243988037, norm: 9.001517295837402
name: model.layers.6.post_attention_layernorm.weight, type: torch.float16, ratio: 0.0007629794999957085, diff: 0.00820769090205431, norm: 10.75741958618164
name: model.layers.7.input_layernorm.weight, type: torch.float16, ratio: 0.03585108742117882, diff: 0.33197879791259766, norm: 9.259936332702637
name: model.layers.7.post_attention_layernorm.weight, type: torch.float16, ratio: 0.0015933834947645664, diff: 0.016985291615128517, norm: 10.659889221191406
name: model.layers.8.input_layernorm.weight, type: torch.float16, ratio: 0.006738131400197744, diff: 0.05794873088598251, norm: 8.600118637084961
name: model.layers.8.post_attention_layernorm.weight, type: torch.float16, ratio: 0.0005149983335286379, diff: 0.005246153101325035, norm: 10.186738014221191
name: model.layers.9.input_layernorm.weight, type: torch.float16, ratio: 0.005160899832844734, diff: 0.047943901270627975, norm: 9.289834022521973
name: model.layers.9.post_attention_layernorm.weight, type: torch.float16, ratio: 0.0012569669634103775, diff: 0.012161667458713055, norm: 9.675407409667969
name: model.layers.10.input_layernorm.weight, type: torch.float16, ratio: 0.005888459738343954, diff: 0.0587463304400444, norm: 9.976518630981445
name: model.layers.10.post_attention_layernorm.weight, type: torch.float16, ratio: 0.0011572868097573519, diff: 0.011495843529701233, norm: 9.933444023132324
name: model.layers.11.input_layernorm.weight, type: torch.float16, ratio: 0.0067940447479486465, diff: 0.06349990516901016, norm: 9.346406936645508
name: model.layers.11.post_attention_layernorm.weight, type: torch.float16, ratio: 0.000581584230531007, diff: 0.006003834307193756, norm: 10.323241233825684
name: model.layers.12.input_layernorm.weight, type: torch.float16, ratio: 0.009410164318978786, diff: 0.09103789180517197, norm: 9.674421310424805
name: model.layers.12.post_attention_layernorm.weight, type: torch.float16, ratio: 0.000583563232794404, diff: 0.00597114535048604, norm: 10.232216835021973
name: model.layers.13.input_layernorm.weight, type: torch.float16, ratio: 0.006675726734101772, diff: 0.06346992403268814, norm: 9.507567405700684
name: model.layers.13.post_attention_layernorm.weight, type: torch.float16, ratio: 0.0014366379473358393, diff: 0.01476626843214035, norm: 10.278350830078125
name: model.layers.14.input_layernorm.weight, type: torch.float16, ratio: 0.006390702910721302, diff: 0.06285122781991959, norm: 9.83479118347168
name: model.layers.14.post_attention_layernorm.weight, type: torch.float16, ratio: 0.0008692898554727435, diff: 0.008975230157375336, norm: 10.324784278869629
name: model.layers.15.input_layernorm.weight, type: torch.float16, ratio: 0.6377681493759155, diff: 6.458968639373779, norm: 10.127455711364746
name: model.layers.15.post_attention_layernorm.weight, type: torch.float16, ratio: 0.000306919333525002, diff: 0.003230112139135599, norm: 10.524303436279297
name: model.layers.16.input_layernorm.weight, type: torch.float16, ratio: 0.0021114179398864508, diff: 0.020485391840338707, norm: 9.702197074890137
name: model.layers.16.post_attention_layernorm.weight, type: torch.float16, ratio: 0.00029927396099083126, diff: 0.0031457471195608377, norm: 10.511261940002441
name: model.layers.17.input_layernorm.weight, type: torch.float16, ratio: 0.004017855506390333, diff: 0.04075847566127777, norm: 10.144335746765137
name: model.layers.17.post_attention_layernorm.weight, type: torch.float16, ratio: 0.00378046790137887, diff: 0.0395585335791111, norm: 10.4639253616333
name: model.layers.18.input_layernorm.weight, type: torch.float16, ratio: 0.005559044890105724, diff: 0.056020721793174744, norm: 10.077400207519531
name: model.layers.18.post_attention_layernorm.weight, type: torch.float16, ratio: 0.0008579415152780712, diff: 0.008930891752243042, norm: 10.409674644470215
name: model.layers.19.input_layernorm.weight, type: torch.float16, ratio: 0.014410820789635181, diff: 0.14810387790203094, norm: 10.277268409729004
name: model.layers.19.post_attention_layernorm.weight, type: torch.float16, ratio: 0.00022135200561024249, diff: 0.0023193014785647392, norm: 10.477888107299805
name: model.layers.20.input_layernorm.weight, type: torch.float16, ratio: 0.003895309055224061, diff: 0.0387566015124321, norm: 9.949557304382324
name: model.layers.20.post_attention_layernorm.weight, type: torch.float16, ratio: 0.0004750159860122949, diff: 0.004951151087880135, norm: 10.423125267028809
name: model.layers.21.input_layernorm.weight, type: torch.float16, ratio: 0.0005916047957725823, diff: 0.006128305569291115, norm: 10.358782768249512
name: model.layers.21.post_attention_layernorm.weight, type: torch.float16, ratio: 0.0002956936077680439, diff: 0.0030841354746371508, norm: 10.43017292022705
name: model.layers.22.input_layernorm.weight, type: torch.float16, ratio: 0.0019291355274617672, diff: 0.02032252959907055, norm: 10.534526824951172
name: model.layers.22.post_attention_layernorm.weight, type: torch.float16, ratio: 6.22227307758294e-05, diff: 0.0006536642904393375, norm: 10.505232810974121
name: model.layers.23.input_layernorm.weight, type: torch.float16, ratio: 0.003432682016864419, diff: 0.03663734346628189, norm: 10.673095703125
name: model.layers.23.post_attention_layernorm.weight, type: torch.float16, ratio: 0.00024241078062914312, diff: 0.0025725234299898148, norm: 10.612248420715332
name: model.layers.24.input_layernorm.weight, type: torch.float16, ratio: 0.000701150915119797, diff: 0.007510217372328043, norm: 10.711271286010742
name: model.layers.24.post_attention_layernorm.weight, type: torch.float16, ratio: 0.0002009925665333867, diff: 0.002139128278940916, norm: 10.642823219299316
name: model.layers.25.input_layernorm.weight, type: torch.float16, ratio: 0.007215152028948069, diff: 0.07888426631689072, norm: 10.93313980102539
name: model.layers.25.post_attention_layernorm.weight, type: torch.float16, ratio: 1.2576320841617417e-05, diff: 0.00013220003165770322, norm: 10.511820793151855
name: model.layers.26.input_layernorm.weight, type: torch.float16, ratio: 0.003508699359372258, diff: 0.03767724707722664, norm: 10.738237380981445
name: model.layers.26.post_attention_layernorm.weight, type: torch.float16, ratio: 0.0013801881577819586, diff: 0.014435790479183197, norm: 10.459291458129883
name: model.layers.27.input_layernorm.weight, type: torch.float16, ratio: 0.0003298632218502462, diff: 0.003488284070044756, norm: 10.57494068145752
name: model.layers.27.post_attention_layernorm.weight, type: torch.float16, ratio: 6.250442675082013e-05, diff: 0.00064849853515625, norm: 10.37524127960205
name: model.layers.28.input_layernorm.weight, type: torch.float16, ratio: 0.0005194299155846238, diff: 0.005467237904667854, norm: 10.525458335876465
name: model.layers.28.post_attention_layernorm.weight, type: torch.float16, ratio: 0.00012203644291730598, diff: 0.001262664794921875, norm: 10.346620559692383
name: model.layers.29.input_layernorm.weight, type: torch.float16, ratio: 0.002855447120964527, diff: 0.029975086450576782, norm: 10.49751091003418
name: model.layers.29.post_attention_layernorm.weight, type: torch.float16, ratio: 2.659932397364173e-05, diff: 0.0002727508544921875, norm: 10.25405216217041
name: model.layers.30.input_layernorm.weight, type: torch.float16, ratio: 0.0016256015514954925, diff: 0.016965636983513832, norm: 10.436528205871582
name: model.layers.30.post_attention_layernorm.weight, type: torch.float16, ratio: 0.00035499557270668447, diff: 0.003612518310546875, norm: 10.17623519897461
name: model.layers.31.input_layernorm.weight, type: torch.float16, ratio: 0.0014575027162209153, diff: 0.015169138088822365, norm: 10.407622337341309
name: model.layers.31.post_attention_layernorm.weight, type: torch.float16, ratio: 0.0004205954901408404, diff: 0.004302978515625, norm: 10.230681419372559
name: model.layers.32.input_layernorm.weight, type: torch.float16, ratio: 0.0006974188727326691, diff: 0.006936139892786741, norm: 9.945443153381348
name: model.layers.32.post_attention_layernorm.weight, type: torch.float16, ratio: 0.0002993647940456867, diff: 0.003182994667440653, norm: 10.632494926452637
