name: model.layers.0.input_layernorm.weight, type: torch.float16, ratio: 0.0, diff: 0.0, norm: 7.10510778427124
name: model.layers.0.post_attention_layernorm.weight, type: torch.float16, ratio: 0.0, diff: 0.0, norm: 8.98036003112793
name: model.layers.1.input_layernorm.weight, type: torch.float16, ratio: 0.0, diff: 0.0, norm: 4.003208637237549
name: model.layers.1.post_attention_layernorm.weight, type: torch.float16, ratio: 0.0, diff: 0.0, norm: 8.236239433288574
name: model.layers.2.input_layernorm.weight, type: torch.float16, ratio: 0.0, diff: 0.0, norm: 5.962635040283203
name: model.layers.2.post_attention_layernorm.weight, type: torch.float16, ratio: 0.0, diff: 0.0, norm: 10.610916137695312
name: model.layers.3.input_layernorm.weight, type: torch.float16, ratio: 0.0, diff: 0.0, norm: 7.393589496612549
name: model.layers.3.post_attention_layernorm.weight, type: torch.float16, ratio: 0.0, diff: 0.0, norm: 10.687458038330078
name: model.layers.4.input_layernorm.weight, type: torch.float16, ratio: 0.0, diff: 0.0, norm: 7.989410877227783
name: model.layers.4.post_attention_layernorm.weight, type: torch.float16, ratio: 0.0, diff: 0.0, norm: 11.272951126098633
name: model.layers.5.input_layernorm.weight, type: torch.float16, ratio: 0.0, diff: 0.0, norm: 9.058439254760742
name: model.layers.5.post_attention_layernorm.weight, type: torch.float16, ratio: 0.0, diff: 0.0, norm: 10.939037322998047
name: model.layers.6.input_layernorm.weight, type: torch.float16, ratio: 0.0, diff: 0.0, norm: 9.00478744506836
name: model.layers.6.post_attention_layernorm.weight, type: torch.float16, ratio: 0.0, diff: 0.0, norm: 10.797505378723145
name: model.layers.7.input_layernorm.weight, type: torch.float16, ratio: 0.0, diff: 0.0, norm: 9.29997444152832
name: model.layers.7.post_attention_layernorm.weight, type: torch.float16, ratio: 0.0, diff: 0.0, norm: 10.693974494934082
name: model.layers.8.input_layernorm.weight, type: torch.float16, ratio: 0.0, diff: 0.0, norm: 8.640863418579102
name: model.layers.8.post_attention_layernorm.weight, type: torch.float16, ratio: 0.0, diff: 0.0, norm: 10.211380004882812
name: model.layers.9.input_layernorm.weight, type: torch.float16, ratio: 0.0, diff: 0.0, norm: 9.328916549682617
name: model.layers.9.post_attention_layernorm.weight, type: torch.float16, ratio: 0.0, diff: 0.0, norm: 9.689294815063477
name: model.layers.10.input_layernorm.weight, type: torch.float16, ratio: 0.0, diff: 0.0, norm: 10.027703285217285
name: model.layers.10.post_attention_layernorm.weight, type: torch.float16, ratio: 0.0, diff: 0.0, norm: 9.928653717041016
name: model.layers.11.input_layernorm.weight, type: torch.float16, ratio: 0.0, diff: 0.0, norm: 9.343074798583984
name: model.layers.11.post_attention_layernorm.weight, type: torch.float16, ratio: 0.0, diff: 0.0, norm: 10.298734664916992
name: model.layers.12.input_layernorm.weight, type: torch.float16, ratio: 0.0, diff: 0.0, norm: 9.68443775177002
name: model.layers.12.post_attention_layernorm.weight, type: torch.float16, ratio: 0.0, diff: 0.0, norm: 10.258482933044434
name: model.layers.13.input_layernorm.weight, type: torch.float16, ratio: 0.0, diff: 0.0, norm: 9.560300827026367
name: model.layers.13.post_attention_layernorm.weight, type: torch.float16, ratio: 0.0, diff: 0.0, norm: 10.315560340881348
name: model.layers.14.input_layernorm.weight, type: torch.float16, ratio: 0.0, diff: 0.0, norm: 9.874542236328125
name: model.layers.14.post_attention_layernorm.weight, type: torch.float16, ratio: 0.0, diff: 0.0, norm: 10.366841316223145
name: model.layers.15.input_layernorm.weight, type: torch.float16, ratio: 0.0, diff: 0.0, norm: 10.16236400604248
name: model.layers.15.post_attention_layernorm.weight, type: torch.float16, ratio: 0.0, diff: 0.0, norm: 10.53101921081543
name: model.layers.16.input_layernorm.weight, type: torch.float16, ratio: 0.0, diff: 0.0, norm: 9.67309284210205
name: model.layers.16.post_attention_layernorm.weight, type: torch.float16, ratio: 0.0, diff: 0.0, norm: 10.50297737121582
name: model.layers.17.input_layernorm.weight, type: torch.float16, ratio: 0.0, diff: 0.0, norm: 10.103902816772461
name: model.layers.17.post_attention_layernorm.weight, type: torch.float16, ratio: 0.0, diff: 0.0, norm: 10.415595054626465
name: model.layers.18.input_layernorm.weight, type: torch.float16, ratio: 0.0, diff: 0.0, norm: 10.010273933410645
name: model.layers.18.post_attention_layernorm.weight, type: torch.float16, ratio: 0.0, diff: 0.0, norm: 10.339579582214355
name: model.layers.19.input_layernorm.weight, type: torch.float16, ratio: 0.0, diff: 0.0, norm: 10.213563919067383
name: model.layers.19.post_attention_layernorm.weight, type: torch.float16, ratio: 0.0, diff: 0.0, norm: 10.39822006225586
name: model.layers.20.input_layernorm.weight, type: torch.float16, ratio: 0.0, diff: 0.0, norm: 9.887263298034668
name: model.layers.20.post_attention_layernorm.weight, type: torch.float16, ratio: 0.0, diff: 0.0, norm: 10.335607528686523
name: model.layers.21.input_layernorm.weight, type: torch.float16, ratio: 0.0, diff: 0.0, norm: 10.274628639221191
name: model.layers.21.post_attention_layernorm.weight, type: torch.float16, ratio: 0.0, diff: 0.0, norm: 10.327126502990723
name: model.layers.22.input_layernorm.weight, type: torch.float16, ratio: 0.0, diff: 0.0, norm: 10.401602745056152
name: model.layers.22.post_attention_layernorm.weight, type: torch.float16, ratio: 0.0, diff: 0.0, norm: 10.355013847351074
name: model.layers.23.input_layernorm.weight, type: torch.float16, ratio: 0.0, diff: 0.0, norm: 10.487432479858398
name: model.layers.23.post_attention_layernorm.weight, type: torch.float16, ratio: 0.0, diff: 0.0, norm: 10.435731887817383
name: model.layers.24.input_layernorm.weight, type: torch.float16, ratio: 0.0, diff: 0.0, norm: 10.489429473876953
name: model.layers.24.post_attention_layernorm.weight, type: torch.float16, ratio: 0.0, diff: 0.0, norm: 10.397782325744629
name: model.layers.25.input_layernorm.weight, type: torch.float16, ratio: 0.0, diff: 0.0, norm: 10.681882858276367
name: model.layers.25.post_attention_layernorm.weight, type: torch.float16, ratio: 0.0, diff: 0.0, norm: 10.218960762023926
name: model.layers.26.input_layernorm.weight, type: torch.float16, ratio: 0.0, diff: 0.0, norm: 10.453580856323242
name: model.layers.26.post_attention_layernorm.weight, type: torch.float16, ratio: 0.0, diff: 0.0, norm: 10.16191577911377
name: model.layers.27.input_layernorm.weight, type: torch.float16, ratio: 0.0, diff: 0.0, norm: 10.290816307067871
name: model.layers.27.post_attention_layernorm.weight, type: torch.float16, ratio: 0.0, diff: 0.0, norm: 10.082042694091797
name: model.layers.28.input_layernorm.weight, type: torch.float16, ratio: 0.0, diff: 0.0, norm: 10.257452964782715
name: model.layers.28.post_attention_layernorm.weight, type: torch.float16, ratio: 0.0, diff: 0.0, norm: 10.135986328125
name: model.layers.29.input_layernorm.weight, type: torch.float16, ratio: 0.0, diff: 0.0, norm: 10.415602684020996
name: model.layers.29.post_attention_layernorm.weight, type: torch.float16, ratio: 0.0, diff: 0.0, norm: 10.147893905639648
name: model.layers.30.input_layernorm.weight, type: torch.float16, ratio: 0.0, diff: 0.0, norm: 10.411308288574219
name: model.layers.30.post_attention_layernorm.weight, type: torch.float16, ratio: 0.0, diff: 0.0, norm: 10.150508880615234
