name: model.layers.0.input_layernorm.weight, type: torch.float16, ratio: 0.0, diff: 0.0, norm: 7.109858989715576
name: model.layers.0.post_attention_layernorm.weight, type: torch.float16, ratio: 0.0, diff: 0.0, norm: 8.986725807189941
name: model.layers.1.input_layernorm.weight, type: torch.float16, ratio: 0.0, diff: 0.0, norm: 4.00214958190918
name: model.layers.1.post_attention_layernorm.weight, type: torch.float16, ratio: 0.0, diff: 0.0, norm: 8.22446346282959
name: model.layers.2.input_layernorm.weight, type: torch.float16, ratio: 0.0, diff: 0.0, norm: 5.955578804016113
name: model.layers.2.post_attention_layernorm.weight, type: torch.float16, ratio: 0.0, diff: 0.0, norm: 10.586091995239258
name: model.layers.3.input_layernorm.weight, type: torch.float16, ratio: 0.0, diff: 0.0, norm: 7.370213985443115
name: model.layers.3.post_attention_layernorm.weight, type: torch.float16, ratio: 0.0, diff: 0.0, norm: 10.656099319458008
name: model.layers.4.input_layernorm.weight, type: torch.float16, ratio: 0.0, diff: 0.0, norm: 7.960433483123779
name: model.layers.4.post_attention_layernorm.weight, type: torch.float16, ratio: 0.0, diff: 0.0, norm: 11.230729103088379
name: model.layers.5.input_layernorm.weight, type: torch.float16, ratio: 0.0, diff: 0.0, norm: 9.027331352233887
name: model.layers.5.post_attention_layernorm.weight, type: torch.float16, ratio: 0.0, diff: 0.0, norm: 10.902384757995605
name: model.layers.6.input_layernorm.weight, type: torch.float16, ratio: 0.0, diff: 0.0, norm: 8.969710350036621
name: model.layers.6.post_attention_layernorm.weight, type: torch.float16, ratio: 0.0, diff: 0.0, norm: 10.744349479675293
name: model.layers.7.input_layernorm.weight, type: torch.float16, ratio: 0.0, diff: 0.0, norm: 9.254082679748535
name: model.layers.7.post_attention_layernorm.weight, type: torch.float16, ratio: 0.0, diff: 0.0, norm: 10.643391609191895
name: model.layers.8.input_layernorm.weight, type: torch.float16, ratio: 0.0, diff: 0.0, norm: 8.604012489318848
name: model.layers.8.post_attention_layernorm.weight, type: torch.float16, ratio: 0.0, diff: 0.0, norm: 10.162230491638184
name: model.layers.9.input_layernorm.weight, type: torch.float16, ratio: 0.0, diff: 0.0, norm: 9.28920841217041
name: model.layers.9.post_attention_layernorm.weight, type: torch.float16, ratio: 0.0, diff: 0.0, norm: 9.648080825805664
name: model.layers.10.input_layernorm.weight, type: torch.float16, ratio: 0.0, diff: 0.0, norm: 9.998056411743164
name: model.layers.10.post_attention_layernorm.weight, type: torch.float16, ratio: 0.0, diff: 0.0, norm: 9.899706840515137
name: model.layers.11.input_layernorm.weight, type: torch.float16, ratio: 0.0, diff: 0.0, norm: 9.32557487487793
name: model.layers.11.post_attention_layernorm.weight, type: torch.float16, ratio: 0.0, diff: 0.0, norm: 10.276040077209473
name: model.layers.12.input_layernorm.weight, type: torch.float16, ratio: 0.0, diff: 0.0, norm: 9.651403427124023
name: model.layers.12.post_attention_layernorm.weight, type: torch.float16, ratio: 0.0, diff: 0.0, norm: 10.219971656799316
name: model.layers.13.input_layernorm.weight, type: torch.float16, ratio: 0.0, diff: 0.0, norm: 9.52222728729248
name: model.layers.13.post_attention_layernorm.weight, type: torch.float16, ratio: 0.0, diff: 0.0, norm: 10.273859977722168
name: model.layers.14.input_layernorm.weight, type: torch.float16, ratio: 0.0, diff: 0.0, norm: 9.838072776794434
name: model.layers.14.post_attention_layernorm.weight, type: torch.float16, ratio: 0.0, diff: 0.0, norm: 10.327563285827637
name: model.layers.15.input_layernorm.weight, type: torch.float16, ratio: 0.0, diff: 0.0, norm: 10.125925064086914
name: model.layers.15.post_attention_layernorm.weight, type: torch.float16, ratio: 0.0, diff: 0.0, norm: 10.492812156677246
name: model.layers.16.input_layernorm.weight, type: torch.float16, ratio: 0.0, diff: 0.0, norm: 9.640331268310547
name: model.layers.16.post_attention_layernorm.weight, type: torch.float16, ratio: 0.0, diff: 0.0, norm: 10.459013938903809
name: model.layers.17.input_layernorm.weight, type: torch.float16, ratio: 0.0, diff: 0.0, norm: 10.077662467956543
name: model.layers.17.post_attention_layernorm.weight, type: torch.float16, ratio: 0.0, diff: 0.0, norm: 10.388175964355469
name: model.layers.18.input_layernorm.weight, type: torch.float16, ratio: 0.0, diff: 0.0, norm: 9.972973823547363
name: model.layers.18.post_attention_layernorm.weight, type: torch.float16, ratio: 0.0, diff: 0.0, norm: 10.299354553222656
name: model.layers.19.input_layernorm.weight, type: torch.float16, ratio: 0.0, diff: 0.0, norm: 10.16019344329834
name: model.layers.19.post_attention_layernorm.weight, type: torch.float16, ratio: 0.0, diff: 0.0, norm: 10.34325122833252
name: model.layers.20.input_layernorm.weight, type: torch.float16, ratio: 0.0, diff: 0.0, norm: 9.82968807220459
name: model.layers.20.post_attention_layernorm.weight, type: torch.float16, ratio: 0.0, diff: 0.0, norm: 10.281462669372559
name: model.layers.21.input_layernorm.weight, type: torch.float16, ratio: 0.0, diff: 0.0, norm: 10.230027198791504
name: model.layers.21.post_attention_layernorm.weight, type: torch.float16, ratio: 0.0, diff: 0.0, norm: 10.296589851379395
name: model.layers.22.input_layernorm.weight, type: torch.float16, ratio: 0.0, diff: 0.0, norm: 10.369293212890625
name: model.layers.22.post_attention_layernorm.weight, type: torch.float16, ratio: 0.0, diff: 0.0, norm: 10.330571174621582
name: model.layers.23.input_layernorm.weight, type: torch.float16, ratio: 0.0, diff: 0.0, norm: 10.460325241088867
name: model.layers.23.post_attention_layernorm.weight, type: torch.float16, ratio: 0.0, diff: 0.0, norm: 10.411718368530273
name: model.layers.24.input_layernorm.weight, type: torch.float16, ratio: 0.0, diff: 0.0, norm: 10.479598045349121
name: model.layers.24.post_attention_layernorm.weight, type: torch.float16, ratio: 0.0, diff: 0.0, norm: 10.391613960266113
name: model.layers.25.input_layernorm.weight, type: torch.float16, ratio: 0.0, diff: 0.0, norm: 10.682751655578613
name: model.layers.25.post_attention_layernorm.weight, type: torch.float16, ratio: 0.0, diff: 0.0, norm: 10.220721244812012
name: model.layers.26.input_layernorm.weight, type: torch.float16, ratio: 0.0, diff: 0.0, norm: 10.4607515335083
name: model.layers.26.post_attention_layernorm.weight, type: torch.float16, ratio: 0.0, diff: 0.0, norm: 10.1669340133667
