name: model.layers.0.input_layernorm.weight, type: torch.float16, ratio: 0.04145977273583412, diff: 0.29520347714424133, norm: 7.120238780975342
name: model.layers.0.post_attention_layernorm.weight, type: torch.float16, ratio: 0.16798369586467743, diff: 1.5744801759719849, norm: 9.372815132141113
name: model.layers.1.input_layernorm.weight, type: torch.float16, ratio: 23.748104095458984, diff: 94.88646697998047, norm: 3.9955384731292725
name: model.layers.1.post_attention_layernorm.weight, type: torch.float16, ratio: 0.5159944295883179, diff: 4.250782012939453, norm: 8.238039016723633
name: model.layers.2.input_layernorm.weight, type: torch.float16, ratio: 2.977281093597412, diff: 17.555110931396484, norm: 5.896356582641602
name: model.layers.2.post_attention_layernorm.weight, type: torch.float16, ratio: 0.01029148232191801, diff: 0.1092018261551857, norm: 10.610894203186035
name: model.layers.3.input_layernorm.weight, type: torch.float16, ratio: 0.47402364015579224, diff: 3.4358410835266113, norm: 7.24824857711792
name: model.layers.3.post_attention_layernorm.weight, type: torch.float16, ratio: 0.01354281511157751, diff: 0.14421886205673218, norm: 10.649105072021484
name: model.layers.4.input_layernorm.weight, type: torch.float16, ratio: 0.7378498911857605, diff: 5.8212409019470215, norm: 7.889464855194092
name: model.layers.4.post_attention_layernorm.weight, type: torch.float16, ratio: 0.011199867352843285, diff: 0.12571457028388977, norm: 11.224648475646973
name: model.layers.5.input_layernorm.weight, type: torch.float16, ratio: 3.3761579990386963, diff: 30.326683044433594, norm: 8.9826021194458
name: model.layers.5.post_attention_layernorm.weight, type: torch.float16, ratio: 0.0183562058955431, diff: 0.19928106665611267, norm: 10.856331825256348
name: model.layers.6.input_layernorm.weight, type: torch.float16, ratio: 0.04986243322491646, diff: 0.448837548494339, norm: 9.001517295837402
name: model.layers.6.post_attention_layernorm.weight, type: torch.float16, ratio: 0.021824639290571213, diff: 0.2347768098115921, norm: 10.75741958618164
name: model.layers.7.input_layernorm.weight, type: torch.float16, ratio: 0.050083477050065994, diff: 0.4637698233127594, norm: 9.259936332702637
name: model.layers.7.post_attention_layernorm.weight, type: torch.float16, ratio: 0.01671513356268406, diff: 0.1781814694404602, norm: 10.659889221191406
name: model.layers.8.input_layernorm.weight, type: torch.float16, ratio: 0.022845258936285973, diff: 0.1964719295501709, norm: 8.600118637084961
name: model.layers.8.post_attention_layernorm.weight, type: torch.float16, ratio: 0.016469381749629974, diff: 0.16776928305625916, norm: 10.186738014221191
name: model.layers.9.input_layernorm.weight, type: torch.float16, ratio: 0.03199661150574684, diff: 0.2972432076931, norm: 9.289834022521973
name: model.layers.9.post_attention_layernorm.weight, type: torch.float16, ratio: 0.010293342173099518, diff: 0.09959227591753006, norm: 9.675407409667969
name: model.layers.10.input_layernorm.weight, type: torch.float16, ratio: 0.017199140042066574, diff: 0.17158754169940948, norm: 9.976518630981445
name: model.layers.10.post_attention_layernorm.weight, type: torch.float16, ratio: 0.01084691472351551, diff: 0.10774721950292587, norm: 9.933444023132324
