name: model.layers.0.self_attn.q_proj.weight, type: torch.int8, ratio: 0.1365627497434616, diff: 9320.2109375, norm: 68248.5625
name: model.layers.0.self_attn.k_proj.weight, type: torch.int8, ratio: 0.09261593222618103, diff: 3181.691650390625, norm: 34353.609375
name: model.layers.0.self_attn.v_proj.weight, type: torch.int8, ratio: 0.15767627954483032, diff: 6187.87646484375, norm: 39244.1796875
name: model.layers.0.self_attn.o_proj.weight, type: torch.int8, ratio: 0.40038299560546875, diff: 38712.265625, norm: 96688.0859375
name: model.layers.0.mlp.gate_proj.weight, type: torch.int8, ratio: 0.1390531361103058, diff: 22814.025390625, norm: 164066.953125
name: model.layers.0.mlp.up_proj.weight, type: torch.int8, ratio: 0.16866059601306915, diff: 33541.0703125, norm: 198867.265625
name: model.layers.0.mlp.down_proj.weight, type: torch.int8, ratio: 0.14557597041130066, diff: 30240.328125, norm: 207728.84375
name: model.layers.0.input_layernorm.weight, type: torch.float16, ratio: 0.058604367077350616, diff: 0.3751184344291687, norm: 6.4008612632751465
name: model.layers.0.post_attention_layernorm.weight, type: torch.float16, ratio: 0.028374556452035904, diff: 0.22012515366077423, norm: 7.757835865020752
name: model.layers.1.self_attn.q_proj.weight, type: torch.int8, ratio: 0.14753806591033936, diff: 5599.8271484375, norm: 37955.1328125
name: model.layers.1.self_attn.k_proj.weight, type: torch.int8, ratio: 0.12565399706363678, diff: 1878.6795654296875, norm: 14951.212890625
name: model.layers.1.self_attn.v_proj.weight, type: torch.int8, ratio: 0.1459924280643463, diff: 3616.758544921875, norm: 24773.603515625
name: model.layers.1.self_attn.o_proj.weight, type: torch.int8, ratio: 0.3923529386520386, diff: 42720.52734375, norm: 108882.90625
name: model.layers.1.mlp.gate_proj.weight, type: torch.int8, ratio: 0.10360027849674225, diff: 8031.70703125, norm: 77525.921875
name: model.layers.1.mlp.up_proj.weight, type: torch.int8, ratio: 0.11914711445569992, diff: 15283.662109375, norm: 128275.5546875
name: model.layers.1.mlp.down_proj.weight, type: torch.int8, ratio: 0.13574256002902985, diff: 24754.40234375, norm: 182362.859375
name: model.layers.1.input_layernorm.weight, type: torch.float16, ratio: 0.42324021458625793, diff: 2.516737699508667, norm: 5.946357727050781
name: model.layers.1.post_attention_layernorm.weight, type: torch.float16, ratio: 0.020393185317516327, diff: 0.18462905287742615, norm: 9.053467750549316
name: model.layers.2.self_attn.q_proj.weight, type: torch.int8, ratio: 0.1452445089817047, diff: 8425.751953125, norm: 58010.8125
