name: model.layers.0.self_attn.q_proj.weight, type: torch.int8, ratio: 0.02594694495201111, diff: 1720.137451171875, norm: 66294.4140625
name: model.layers.0.self_attn.k_proj.weight, type: torch.int8, ratio: 0.019394783303141594, diff: 656.5736694335938, norm: 33853.10546875
name: model.layers.0.self_attn.v_proj.weight, type: torch.int8, ratio: 0.01694333367049694, diff: 658.2081909179688, norm: 38847.62109375
name: model.layers.0.self_attn.o_proj.weight, type: torch.int8, ratio: 0.01621146872639656, diff: 1569.7371826171875, norm: 96828.8125
name: model.layers.0.mlp.gate_proj.weight, type: torch.int8, ratio: 0.023978903889656067, diff: 3923.510986328125, norm: 163623.453125
name: model.layers.0.mlp.up_proj.weight, type: torch.int8, ratio: 0.020986037328839302, diff: 4159.62451171875, norm: 198209.140625
name: model.layers.0.mlp.down_proj.weight, type: torch.int8, ratio: 0.01633460819721222, diff: 3398.023193359375, norm: 208026.0
name: model.layers.0.input_layernorm.weight, type: torch.float16, ratio: 0.0, diff: 0.0, norm: 6.296355247497559
name: model.layers.0.post_attention_layernorm.weight, type: torch.float16, ratio: 0.0, diff: 0.0, norm: 7.503583908081055
name: model.layers.1.self_attn.q_proj.weight, type: torch.int8, ratio: 0.04217790067195892, diff: 1598.686279296875, norm: 37903.41015625
name: model.layers.1.self_attn.k_proj.weight, type: torch.int8, ratio: 0.04081570357084274, diff: 606.547607421875, norm: 14860.6435546875
name: model.layers.1.self_attn.v_proj.weight, type: torch.int8, ratio: 0.025047026574611664, diff: 620.6939697265625, norm: 24781.14453125
name: model.layers.1.self_attn.o_proj.weight, type: torch.int8, ratio: 0.014381792396306992, diff: 1567.73974609375, norm: 109008.6484375
name: model.layers.1.mlp.gate_proj.weight, type: torch.int8, ratio: 0.040234677493572235, diff: 3048.626708984375, norm: 75771.125
name: model.layers.1.mlp.up_proj.weight, type: torch.int8, ratio: 0.02688293717801571, diff: 3416.9990234375, norm: 127106.609375
name: model.layers.1.mlp.down_proj.weight, type: torch.int8, ratio: 0.02290436252951622, diff: 4178.87109375, norm: 182448.703125
name: model.layers.1.input_layernorm.weight, type: torch.float16, ratio: 0.0, diff: 0.0, norm: 5.886509895324707
name: model.layers.1.post_attention_layernorm.weight, type: torch.float16, ratio: 0.0, diff: 0.0, norm: 8.965354919433594
name: model.layers.2.self_attn.q_proj.weight, type: torch.int8, ratio: 0.023322615772485733, diff: 1340.3861083984375, norm: 57471.515625
name: model.layers.2.self_attn.k_proj.weight, type: torch.int8, ratio: 0.026746977120637894, diff: 504.3748474121094, norm: 18857.265625
name: model.layers.2.self_attn.v_proj.weight, type: torch.int8, ratio: 0.017106594517827034, diff: 514.6212158203125, norm: 30083.20703125
name: model.layers.2.self_attn.o_proj.weight, type: torch.int8, ratio: 0.012392459437251091, diff: 1385.9368896484375, norm: 111837.109375
name: model.layers.2.mlp.gate_proj.weight, type: torch.int8, ratio: 0.035134296864271164, diff: 2865.76513671875, norm: 81566.03125
name: model.layers.2.mlp.up_proj.weight, type: torch.int8, ratio: 0.0207534059882164, diff: 3084.0615234375, norm: 148605.078125
name: model.layers.2.mlp.down_proj.weight, type: torch.int8, ratio: 0.015005857683718204, diff: 3104.05517578125, norm: 206856.234375
name: model.layers.2.input_layernorm.weight, type: torch.float16, ratio: 0.0, diff: 0.0, norm: 7.532243251800537
name: model.layers.2.post_attention_layernorm.weight, type: torch.float16, ratio: 0.0, diff: 0.0, norm: 8.748673439025879
name: model.layers.3.self_attn.q_proj.weight, type: torch.int8, ratio: 0.024188663810491562, diff: 1333.65478515625, norm: 55135.53125
name: model.layers.3.self_attn.k_proj.weight, type: torch.int8, ratio: 0.0282463189214468, diff: 500.6655578613281, norm: 17724.984375
name: model.layers.3.self_attn.v_proj.weight, type: torch.int8, ratio: 0.01940501295030117, diff: 510.888427734375, norm: 26327.65234375
name: model.layers.3.self_attn.o_proj.weight, type: torch.int8, ratio: 0.012635817751288414, diff: 1340.699462890625, norm: 106103.1015625
name: model.layers.3.mlp.gate_proj.weight, type: torch.int8, ratio: 0.026047172024846077, diff: 3089.614501953125, norm: 118616.1171875
name: model.layers.3.mlp.up_proj.weight, type: torch.int8, ratio: 0.015164317563176155, diff: 3213.30224609375, norm: 211898.90625
name: model.layers.3.mlp.down_proj.weight, type: torch.int8, ratio: 0.013878914527595043, diff: 3041.766845703125, norm: 219164.609375
name: model.layers.3.input_layernorm.weight, type: torch.float16, ratio: 0.0, diff: 0.0, norm: 7.0371575355529785
name: model.layers.3.post_attention_layernorm.weight, type: torch.float16, ratio: 0.0, diff: 0.0, norm: 9.07958984375
name: model.layers.4.self_attn.q_proj.weight, type: torch.int8, ratio: 0.023648701608181, diff: 1339.9171142578125, norm: 56659.2265625
name: model.layers.4.self_attn.k_proj.weight, type: torch.int8, ratio: 0.026210758835077286, diff: 503.7856750488281, norm: 19220.568359375
name: model.layers.4.self_attn.v_proj.weight, type: torch.int8, ratio: 0.018070226535201073, diff: 513.4656982421875, norm: 28415.01171875
name: model.layers.4.self_attn.o_proj.weight, type: torch.int8, ratio: 0.011811909265816212, diff: 1283.4036865234375, norm: 108653.3671875
name: model.layers.4.mlp.gate_proj.weight, type: torch.int8, ratio: 0.02780788205564022, diff: 3086.169921875, norm: 110981.84375
name: model.layers.4.mlp.up_proj.weight, type: torch.int8, ratio: 0.0141611872240901, diff: 3244.77587890625, norm: 229131.625
name: model.layers.4.mlp.down_proj.weight, type: torch.int8, ratio: 0.01014325674623251, diff: 2290.5576171875, norm: 225820.71875
name: model.layers.4.input_layernorm.weight, type: torch.float16, ratio: 0.0, diff: 0.0, norm: 7.115372180938721
name: model.layers.4.post_attention_layernorm.weight, type: torch.float16, ratio: 0.0, diff: 0.0, norm: 8.896988868713379
name: model.layers.5.self_attn.q_proj.weight, type: torch.int8, ratio: 0.020220758393406868, diff: 1354.8143310546875, norm: 67001.1640625
name: model.layers.5.self_attn.k_proj.weight, type: torch.int8, ratio: 0.021935584023594856, diff: 509.4320373535156, norm: 23224.001953125
name: model.layers.5.self_attn.v_proj.weight, type: torch.int8, ratio: 0.01681920699775219, diff: 518.2537841796875, norm: 30813.2109375
name: model.layers.5.self_attn.o_proj.weight, type: torch.int8, ratio: 0.0110413683578372, diff: 1240.8089599609375, norm: 112378.1875
name: model.layers.5.mlp.gate_proj.weight, type: torch.int8, ratio: 0.03182857856154442, diff: 3054.942138671875, norm: 95981.109375
name: model.layers.5.mlp.up_proj.weight, type: torch.int8, ratio: 0.01450859010219574, diff: 3270.826171875, norm: 225440.65625
name: model.layers.5.mlp.down_proj.weight, type: torch.int8, ratio: 0.013550053350627422, diff: 3052.402099609375, norm: 225268.640625
name: model.layers.5.input_layernorm.weight, type: torch.float16, ratio: 0.0, diff: 0.0, norm: 7.605808734893799
name: model.layers.5.post_attention_layernorm.weight, type: torch.float16, ratio: 0.0, diff: 0.0, norm: 9.025168418884277
name: model.layers.6.self_attn.q_proj.weight, type: torch.int8, ratio: 0.02249979041516781, diff: 1348.247802734375, norm: 59922.68359375
name: model.layers.6.self_attn.k_proj.weight, type: torch.int8, ratio: 0.024364255368709564, diff: 508.1751708984375, norm: 20857.40625
name: model.layers.6.self_attn.v_proj.weight, type: torch.int8, ratio: 0.017292160540819168, diff: 519.3890380859375, norm: 30036.09765625
name: model.layers.6.self_attn.o_proj.weight, type: torch.int8, ratio: 0.012002898380160332, diff: 1315.8138427734375, norm: 109624.6796875
name: model.layers.6.mlp.gate_proj.weight, type: torch.int8, ratio: 0.019533758983016014, diff: 3132.1875, norm: 160347.40625
name: model.layers.6.mlp.up_proj.weight, type: torch.int8, ratio: 0.012719026766717434, diff: 3297.30029296875, norm: 259241.546875
name: model.layers.6.mlp.down_proj.weight, type: torch.int8, ratio: 0.014714047312736511, diff: 3346.0869140625, norm: 227407.65625
name: model.layers.6.input_layernorm.weight, type: torch.float16, ratio: 0.0, diff: 0.0, norm: 7.400882244110107
name: model.layers.6.post_attention_layernorm.weight, type: torch.float16, ratio: 0.0, diff: 0.0, norm: 8.212176322937012
name: model.layers.7.self_attn.q_proj.weight, type: torch.int8, ratio: 0.02105160802602768, diff: 1363.5465087890625, norm: 64771.609375
name: model.layers.7.self_attn.k_proj.weight, type: torch.int8, ratio: 0.02690810337662697, diff: 509.16302490234375, norm: 18922.29296875
name: model.layers.7.self_attn.v_proj.weight, type: torch.int8, ratio: 0.016904251649975777, diff: 524.3672485351562, norm: 31019.84375
name: model.layers.7.self_attn.o_proj.weight, type: torch.int8, ratio: 0.012287648394703865, diff: 1334.3665771484375, norm: 108594.140625
name: model.layers.7.mlp.gate_proj.weight, type: torch.int8, ratio: 0.016426216810941696, diff: 3194.921630859375, norm: 194501.359375
name: model.layers.7.mlp.up_proj.weight, type: torch.int8, ratio: 0.012931308709084988, diff: 3302.669189453125, norm: 255401.0
name: model.layers.7.mlp.down_proj.weight, type: torch.int8, ratio: 0.013174653984606266, diff: 2984.267822265625, norm: 226515.84375
name: model.layers.7.input_layernorm.weight, type: torch.float16, ratio: 0.0, diff: 0.0, norm: 7.88212251663208
name: model.layers.7.post_attention_layernorm.weight, type: torch.float16, ratio: 0.0, diff: 0.0, norm: 8.192342758178711
name: model.layers.8.self_attn.q_proj.weight, type: torch.int8, ratio: 0.021414587274193764, diff: 1368.1455078125, norm: 63888.484375
name: model.layers.8.self_attn.k_proj.weight, type: torch.int8, ratio: 0.024418659508228302, diff: 512.4119262695312, norm: 20984.44140625
name: model.layers.8.self_attn.v_proj.weight, type: torch.int8, ratio: 0.01709354668855667, diff: 522.5217895507812, norm: 30568.3671875
name: model.layers.8.self_attn.o_proj.weight, type: torch.int8, ratio: 0.011972512118518353, diff: 1277.933837890625, norm: 106738.9921875
name: model.layers.8.mlp.gate_proj.weight, type: torch.int8, ratio: 0.016873881220817566, diff: 3215.975830078125, norm: 190588.984375
name: model.layers.8.mlp.up_proj.weight, type: torch.int8, ratio: 0.012699279002845287, diff: 3311.682861328125, norm: 260777.234375
name: model.layers.8.mlp.down_proj.weight, type: torch.int8, ratio: 0.013603822328150272, diff: 3079.772216796875, norm: 226390.21875
name: model.layers.8.input_layernorm.weight, type: torch.float16, ratio: 0.0, diff: 0.0, norm: 8.30206298828125
name: model.layers.8.post_attention_layernorm.weight, type: torch.float16, ratio: 0.0, diff: 0.0, norm: 8.652865409851074
name: model.layers.9.self_attn.q_proj.weight, type: torch.int8, ratio: 0.02286062203347683, diff: 1373.783447265625, norm: 60093.87890625
name: model.layers.9.self_attn.k_proj.weight, type: torch.int8, ratio: 0.026949509978294373, diff: 514.7630615234375, norm: 19101.017578125
name: model.layers.9.self_attn.v_proj.weight, type: torch.int8, ratio: 0.017255743965506554, diff: 533.4351196289062, norm: 30913.482421875
name: model.layers.9.self_attn.o_proj.weight, type: torch.int8, ratio: 0.012701280415058136, diff: 1374.957763671875, norm: 108253.4765625
name: model.layers.9.mlp.gate_proj.weight, type: torch.int8, ratio: 0.026197349652647972, diff: 3163.20458984375, norm: 120745.2109375
name: model.layers.9.mlp.up_proj.weight, type: torch.int8, ratio: 0.012948427349328995, diff: 3358.060791015625, norm: 259341.203125
name: model.layers.9.mlp.down_proj.weight, type: torch.int8, ratio: 0.013509231619536877, diff: 3072.7998046875, norm: 227459.265625
name: model.layers.9.input_layernorm.weight, type: torch.float16, ratio: 0.0, diff: 0.0, norm: 8.666647911071777
name: model.layers.9.post_attention_layernorm.weight, type: torch.float16, ratio: 0.0, diff: 0.0, norm: 9.646605491638184
name: model.layers.10.self_attn.q_proj.weight, type: torch.int8, ratio: 0.021619116887450218, diff: 1479.474853515625, norm: 68433.640625
name: model.layers.10.self_attn.k_proj.weight, type: torch.int8, ratio: 0.025337902829051018, diff: 555.1891479492188, norm: 21911.408203125
name: model.layers.10.self_attn.v_proj.weight, type: torch.int8, ratio: 0.01705869473516941, diff: 566.2799682617188, norm: 33195.97265625
name: model.layers.10.self_attn.o_proj.weight, type: torch.int8, ratio: 0.014099306426942348, diff: 1503.48291015625, norm: 106635.2421875
name: model.layers.10.mlp.gate_proj.weight, type: torch.int8, ratio: 0.015634240582585335, diff: 3434.966552734375, norm: 219707.9375
name: model.layers.10.mlp.up_proj.weight, type: torch.int8, ratio: 0.01356637105345726, diff: 3460.741943359375, norm: 255097.09375
name: model.layers.10.mlp.down_proj.weight, type: torch.int8, ratio: 0.013456619344651699, diff: 3040.693603515625, norm: 225962.671875
name: model.layers.10.input_layernorm.weight, type: torch.float16, ratio: 0.0, diff: 0.0, norm: 8.732150077819824
name: model.layers.10.post_attention_layernorm.weight, type: torch.float16, ratio: 0.0, diff: 0.0, norm: 9.261273384094238
name: model.layers.11.self_attn.q_proj.weight, type: torch.int8, ratio: 0.020894251763820648, diff: 1377.371826171875, norm: 65921.0859375
name: model.layers.11.self_attn.k_proj.weight, type: torch.int8, ratio: 0.024297203868627548, diff: 515.1737670898438, norm: 21203.005859375
name: model.layers.11.self_attn.v_proj.weight, type: torch.int8, ratio: 0.016633927822113037, diff: 526.0018920898438, norm: 31622.23046875
name: model.layers.11.self_attn.o_proj.weight, type: torch.int8, ratio: 0.013013196177780628, diff: 1423.5382080078125, norm: 109391.8984375
name: model.layers.11.mlp.gate_proj.weight, type: torch.int8, ratio: 0.014005586504936218, diff: 3271.31689453125, norm: 233572.28125
name: model.layers.11.mlp.up_proj.weight, type: torch.int8, ratio: 0.01301652193069458, diff: 3287.643310546875, norm: 252574.640625
name: model.layers.11.mlp.down_proj.weight, type: torch.int8, ratio: 0.01324143260717392, diff: 3022.4892578125, norm: 228259.984375
name: model.layers.11.input_layernorm.weight, type: torch.float16, ratio: 0.0, diff: 0.0, norm: 9.353513717651367
name: model.layers.11.post_attention_layernorm.weight, type: torch.float16, ratio: 0.0, diff: 0.0, norm: 9.841545104980469
name: model.layers.12.self_attn.q_proj.weight, type: torch.int8, ratio: 0.022734062746167183, diff: 1456.754638671875, norm: 64078.05859375
name: model.layers.12.self_attn.k_proj.weight, type: torch.int8, ratio: 0.026271505281329155, diff: 546.7467651367188, norm: 20811.3984375
name: model.layers.12.self_attn.v_proj.weight, type: torch.int8, ratio: 0.01911373808979988, diff: 557.7696533203125, norm: 29181.609375
name: model.layers.12.self_attn.o_proj.weight, type: torch.int8, ratio: 0.012691478244960308, diff: 1422.717529296875, norm: 112100.21875
name: model.layers.12.mlp.gate_proj.weight, type: torch.int8, ratio: 0.01576576754450798, diff: 3317.132080078125, norm: 210400.9375
name: model.layers.12.mlp.up_proj.weight, type: torch.int8, ratio: 0.01352842990309, diff: 3351.1474609375, norm: 247711.484375
name: model.layers.12.mlp.down_proj.weight, type: torch.int8, ratio: 0.01510753482580185, diff: 3263.392333984375, norm: 216010.90625
name: model.layers.12.input_layernorm.weight, type: torch.float16, ratio: 0.0, diff: 0.0, norm: 9.751738548278809
