name: model.layers.0.self_attn.q_proj.weight, type: torch.int8, ratio: 0.025567539036273956, diff: 1701.5443115234375, norm: 66550.9609375
name: model.layers.0.self_attn.k_proj.weight, type: torch.int8, ratio: 0.01902080699801445, diff: 645.3262939453125, norm: 33927.38671875
name: model.layers.0.self_attn.v_proj.weight, type: torch.int8, ratio: 0.018554626032710075, diff: 721.7651977539062, norm: 38899.47265625
name: model.layers.0.self_attn.o_proj.weight, type: torch.int8, ratio: 0.016043346375226974, diff: 1553.827880859375, norm: 96851.859375
name: model.layers.0.mlp.gate_proj.weight, type: torch.int8, ratio: 0.023631466552615166, diff: 3869.6142578125, norm: 163748.375
name: model.layers.0.mlp.up_proj.weight, type: torch.int8, ratio: 0.020565610378980637, diff: 4079.939697265625, norm: 198386.515625
name: model.layers.0.mlp.down_proj.weight, type: torch.int8, ratio: 0.01629091240465641, diff: 3389.57421875, norm: 208065.34375
name: model.layers.0.input_layernorm.weight, type: torch.float16, ratio: 0.0016171844908967614, diff: 0.010189089924097061, norm: 6.300511837005615
name: model.layers.0.post_attention_layernorm.weight, type: torch.float16, ratio: 0.034681256860494614, diff: 0.260939359664917, norm: 7.523930549621582
name: model.layers.1.self_attn.q_proj.weight, type: torch.int8, ratio: 0.04192408174276352, diff: 1590.3651123046875, norm: 37934.40625
name: model.layers.1.self_attn.k_proj.weight, type: torch.int8, ratio: 0.04052940011024475, diff: 603.1881713867188, norm: 14882.7314453125
name: model.layers.1.self_attn.v_proj.weight, type: torch.int8, ratio: 0.025867914780974388, diff: 642.0576171875, norm: 24820.6171875
name: model.layers.1.self_attn.o_proj.weight, type: torch.int8, ratio: 0.014182851649820805, diff: 1546.3994140625, norm: 109033.0390625
name: model.layers.1.mlp.gate_proj.weight, type: torch.int8, ratio: 0.039988014847040176, diff: 3033.387451171875, norm: 75857.4140625
name: model.layers.1.mlp.up_proj.weight, type: torch.int8, ratio: 0.026638131588697433, diff: 3391.32373046875, norm: 127310.8671875
name: model.layers.1.mlp.down_proj.weight, type: torch.int8, ratio: 0.02284030057489872, diff: 4168.17529296875, norm: 182492.140625
name: model.layers.1.input_layernorm.weight, type: torch.float16, ratio: 0.09760971367359161, diff: 0.5752846598625183, norm: 5.893723487854004
name: model.layers.1.post_attention_layernorm.weight, type: torch.float16, ratio: 0.00016402626351919025, diff: 0.0014748431276530027, norm: 8.99150562286377
name: model.layers.2.self_attn.q_proj.weight, type: torch.int8, ratio: 0.02283466048538685, diff: 1317.7222900390625, norm: 57707.109375
name: model.layers.2.self_attn.k_proj.weight, type: torch.int8, ratio: 0.026384305208921432, diff: 498.76446533203125, norm: 18903.83203125
name: model.layers.2.self_attn.v_proj.weight, type: torch.int8, ratio: 0.01860245130956173, diff: 560.8244018554688, norm: 30147.876953125
name: model.layers.2.self_attn.o_proj.weight, type: torch.int8, ratio: 0.012169082649052143, diff: 1361.232177734375, norm: 111859.8828125
name: model.layers.2.mlp.gate_proj.weight, type: torch.int8, ratio: 0.03480028733611107, diff: 2842.831787109375, norm: 81689.8984375
name: model.layers.2.mlp.up_proj.weight, type: torch.int8, ratio: 0.02037571370601654, diff: 3031.802734375, norm: 148794.921875
name: model.layers.2.mlp.down_proj.weight, type: torch.int8, ratio: 0.01498204655945301, diff: 3099.5908203125, norm: 206887.015625
name: model.layers.2.input_layernorm.weight, type: torch.float16, ratio: 0.014371698722243309, diff: 0.10853756219148636, norm: 7.552173614501953
name: model.layers.2.post_attention_layernorm.weight, type: torch.float16, ratio: 0.0008493196801282465, diff: 0.007454609498381615, norm: 8.777153968811035
name: model.layers.3.self_attn.q_proj.weight, type: torch.int8, ratio: 0.023743582889437675, diff: 1311.38671875, norm: 55231.20703125
name: model.layers.3.self_attn.k_proj.weight, type: torch.int8, ratio: 0.027965238317847252, diff: 496.1320495605469, norm: 17741.02734375
name: model.layers.3.self_attn.v_proj.weight, type: torch.int8, ratio: 0.021101364865899086, diff: 555.9136352539062, norm: 26344.9140625
name: model.layers.3.self_attn.o_proj.weight, type: torch.int8, ratio: 0.012136091478168964, diff: 1288.175048828125, norm: 106144.140625
name: model.layers.3.mlp.gate_proj.weight, type: torch.int8, ratio: 0.02555893547832966, diff: 3035.858154296875, norm: 118778.7421875
name: model.layers.3.mlp.up_proj.weight, type: torch.int8, ratio: 0.01453960407525301, diff: 3079.296630859375, norm: 211786.828125
name: model.layers.3.mlp.down_proj.weight, type: torch.int8, ratio: 0.013825541362166405, diff: 3030.308349609375, norm: 219181.890625
