name: model.layers.0.input_layernorm.weight, type: torch.float16, ratio: 0.028515318408608437, diff: 0.2030358761548996, norm: 7.120238780975342
name: model.layers.0.post_attention_layernorm.weight, type: torch.float16, ratio: 0.07750384509563446, diff: 0.7264292240142822, norm: 9.372815132141113
name: model.layers.1.input_layernorm.weight, type: torch.float16, ratio: 2.2123348712921143, diff: 8.839468955993652, norm: 3.9955384731292725
name: model.layers.1.post_attention_layernorm.weight, type: torch.float16, ratio: 0.17905376851558685, diff: 1.4750518798828125, norm: 8.238039016723633
name: model.layers.2.input_layernorm.weight, type: torch.float16, ratio: 1.189391016960144, diff: 7.013073444366455, norm: 5.896356582641602
name: model.layers.2.post_attention_layernorm.weight, type: torch.float16, ratio: 0.0020132444333285093, diff: 0.021362323313951492, norm: 10.610894203186035
name: model.layers.3.input_layernorm.weight, type: torch.float16, ratio: 0.3283783197402954, diff: 2.3801677227020264, norm: 7.24824857711792
name: model.layers.3.post_attention_layernorm.weight, type: torch.float16, ratio: 0.014051124453544617, diff: 0.14963190257549286, norm: 10.649105072021484
name: model.layers.4.input_layernorm.weight, type: torch.float16, ratio: 0.33650195598602295, diff: 2.654820442199707, norm: 7.889464855194092
name: model.layers.4.post_attention_layernorm.weight, type: torch.float16, ratio: 0.0011353661539033055, diff: 0.012744085863232613, norm: 11.224648475646973
name: model.layers.5.input_layernorm.weight, type: torch.float16, ratio: 0.048097796738147736, diff: 0.4320433735847473, norm: 8.9826021194458
name: model.layers.5.post_attention_layernorm.weight, type: torch.float16, ratio: 0.006714898161590099, diff: 0.07289916276931763, norm: 10.856331825256348
name: model.layers.6.input_layernorm.weight, type: torch.float16, ratio: 0.037271954119205475, diff: 0.3355041444301605, norm: 9.001517295837402
name: model.layers.6.post_attention_layernorm.weight, type: torch.float16, ratio: 0.008423360995948315, diff: 0.09061363339424133, norm: 10.75741958618164
name: model.layers.7.input_layernorm.weight, type: torch.float16, ratio: 0.03128647804260254, diff: 0.28971078991889954, norm: 9.259936332702637
name: model.layers.7.post_attention_layernorm.weight, type: torch.float16, ratio: 0.008935411460697651, diff: 0.09525049477815628, norm: 10.659889221191406
name: model.layers.8.input_layernorm.weight, type: torch.float16, ratio: 0.012147990986704826, diff: 0.10447416454553604, norm: 8.600118637084961
name: model.layers.8.post_attention_layernorm.weight, type: torch.float16, ratio: 0.004911988042294979, diff: 0.05003713443875313, norm: 10.186738014221191
name: model.layers.9.input_layernorm.weight, type: torch.float16, ratio: 0.009940776973962784, diff: 0.09234816581010818, norm: 9.289834022521973
name: model.layers.9.post_attention_layernorm.weight, type: torch.float16, ratio: 0.008937793783843517, diff: 0.08647679537534714, norm: 9.675407409667969
name: model.layers.10.input_layernorm.weight, type: torch.float16, ratio: 0.006340823136270046, diff: 0.06325934082269669, norm: 9.976518630981445
name: model.layers.10.post_attention_layernorm.weight, type: torch.float16, ratio: 0.0051680575124919415, diff: 0.051336608827114105, norm: 9.933444023132324
name: model.layers.11.input_layernorm.weight, type: torch.float16, ratio: 0.01874196156859398, diff: 0.17517000436782837, norm: 9.346406936645508
name: model.layers.11.post_attention_layernorm.weight, type: torch.float16, ratio: 0.0014926752774044871, diff: 0.015409247018396854, norm: 10.323241233825684
name: model.layers.12.input_layernorm.weight, type: torch.float16, ratio: 0.025737127289175987, diff: 0.24899181723594666, norm: 9.674421310424805
name: model.layers.12.post_attention_layernorm.weight, type: torch.float16, ratio: 0.002384238876402378, diff: 0.024396048858761787, norm: 10.232216835021973
name: model.layers.13.input_layernorm.weight, type: torch.float16, ratio: 0.00913458876311779, diff: 0.08684772253036499, norm: 9.507567405700684
name: model.layers.13.post_attention_layernorm.weight, type: torch.float16, ratio: 0.0005376627668738365, diff: 0.0055262865498661995, norm: 10.278350830078125
name: model.layers.14.input_layernorm.weight, type: torch.float16, ratio: 0.007946765050292015, diff: 0.07815477252006531, norm: 9.83479118347168
