name: model.layers.0.input_layernorm.weight, type: torch.float16, ratio: 0.0, diff: 0.0, norm: 7.120238780975342
name: model.layers.0.post_attention_layernorm.weight, type: torch.float16, ratio: 0.0, diff: 0.0, norm: 9.372815132141113
name: model.layers.1.input_layernorm.weight, type: torch.float16, ratio: 0.0, diff: 0.0, norm: 3.9955384731292725
name: model.layers.1.post_attention_layernorm.weight, type: torch.float16, ratio: 0.0, diff: 0.0, norm: 8.238039016723633
name: model.layers.2.input_layernorm.weight, type: torch.float16, ratio: 0.0, diff: 0.0, norm: 5.896356582641602
name: model.layers.2.post_attention_layernorm.weight, type: torch.float16, ratio: 0.0, diff: 0.0, norm: 10.610894203186035
name: model.layers.3.input_layernorm.weight, type: torch.float16, ratio: 0.0, diff: 0.0, norm: 7.24824857711792
name: model.layers.3.post_attention_layernorm.weight, type: torch.float16, ratio: 0.0, diff: 0.0, norm: 10.649105072021484
name: model.layers.4.input_layernorm.weight, type: torch.float16, ratio: 0.0, diff: 0.0, norm: 7.889464855194092
name: model.layers.4.post_attention_layernorm.weight, type: torch.float16, ratio: 0.0, diff: 0.0, norm: 11.224648475646973
name: model.layers.5.input_layernorm.weight, type: torch.float16, ratio: 0.0, diff: 0.0, norm: 8.9826021194458
name: model.layers.5.post_attention_layernorm.weight, type: torch.float16, ratio: 0.0, diff: 0.0, norm: 10.856331825256348
name: model.layers.6.input_layernorm.weight, type: torch.float16, ratio: 0.0, diff: 0.0, norm: 9.001517295837402
name: model.layers.6.post_attention_layernorm.weight, type: torch.float16, ratio: 0.0, diff: 0.0, norm: 10.75741958618164
name: model.layers.7.input_layernorm.weight, type: torch.float16, ratio: 0.0, diff: 0.0, norm: 9.259936332702637
name: model.layers.7.post_attention_layernorm.weight, type: torch.float16, ratio: 0.0, diff: 0.0, norm: 10.659889221191406
name: model.layers.8.input_layernorm.weight, type: torch.float16, ratio: 0.0, diff: 0.0, norm: 8.600118637084961
name: model.layers.8.post_attention_layernorm.weight, type: torch.float16, ratio: 0.0, diff: 0.0, norm: 10.186738014221191
name: model.layers.9.input_layernorm.weight, type: torch.float16, ratio: 0.0, diff: 0.0, norm: 9.289834022521973
name: model.layers.9.post_attention_layernorm.weight, type: torch.float16, ratio: 0.0, diff: 0.0, norm: 9.675407409667969
name: model.layers.10.input_layernorm.weight, type: torch.float16, ratio: 0.0, diff: 0.0, norm: 9.976518630981445
name: model.layers.10.post_attention_layernorm.weight, type: torch.float16, ratio: 0.0, diff: 0.0, norm: 9.933444023132324
name: model.layers.11.input_layernorm.weight, type: torch.float16, ratio: 0.0, diff: 0.0, norm: 9.346406936645508
name: model.layers.11.post_attention_layernorm.weight, type: torch.float16, ratio: 0.0, diff: 0.0, norm: 10.323241233825684
name: model.layers.12.input_layernorm.weight, type: torch.float16, ratio: 0.0, diff: 0.0, norm: 9.674421310424805
name: model.layers.12.post_attention_layernorm.weight, type: torch.float16, ratio: 0.0, diff: 0.0, norm: 10.232216835021973
name: model.layers.13.input_layernorm.weight, type: torch.float16, ratio: 0.0, diff: 0.0, norm: 9.507567405700684
name: model.layers.13.post_attention_layernorm.weight, type: torch.float16, ratio: 0.0, diff: 0.0, norm: 10.278350830078125
name: model.layers.14.input_layernorm.weight, type: torch.float16, ratio: 0.0, diff: 0.0, norm: 9.83479118347168
name: model.layers.14.post_attention_layernorm.weight, type: torch.float16, ratio: 0.0, diff: 0.0, norm: 10.324784278869629
name: model.layers.15.input_layernorm.weight, type: torch.float16, ratio: 0.0, diff: 0.0, norm: 10.127455711364746
name: model.layers.15.post_attention_layernorm.weight, type: torch.float16, ratio: 0.0, diff: 0.0, norm: 10.524303436279297
name: model.layers.16.input_layernorm.weight, type: torch.float16, ratio: 0.0, diff: 0.0, norm: 9.702197074890137
name: model.layers.16.post_attention_layernorm.weight, type: torch.float16, ratio: 0.0, diff: 0.0, norm: 10.511261940002441
name: model.layers.17.input_layernorm.weight, type: torch.float16, ratio: 0.0, diff: 0.0, norm: 10.144335746765137
