name: model.layers.0.input_layernorm.weight, type: torch.float16, ratio: 0.003750145435333252, diff: 0.030060531571507454, norm: 8.015830993652344
name: model.layers.0.post_attention_layernorm.weight, type: torch.float16, ratio: 0.01734701171517372, diff: 0.1986171007156372, norm: 11.449644088745117
name: model.layers.1.input_layernorm.weight, type: torch.float16, ratio: 0.4771374762058258, diff: 3.1270971298217773, norm: 6.55387020111084
name: model.layers.1.post_attention_layernorm.weight, type: torch.float16, ratio: 0.07135549932718277, diff: 0.7033169865608215, norm: 9.856520652770996
name: model.layers.2.input_layernorm.weight, type: torch.float16, ratio: 1.404021143913269, diff: 11.608149528503418, norm: 8.26778793334961
name: model.layers.2.post_attention_layernorm.weight, type: torch.float16, ratio: 0.0004519216308835894, diff: 0.005391224287450314, norm: 11.929555892944336
name: model.layers.3.input_layernorm.weight, type: torch.float16, ratio: 0.2925283908843994, diff: 2.694547176361084, norm: 9.211233139038086
name: model.layers.3.post_attention_layernorm.weight, type: torch.float16, ratio: 0.02187933772802353, diff: 0.2580040991306305, norm: 11.792135238647461
name: model.layers.4.input_layernorm.weight, type: torch.float16, ratio: 0.40603700280189514, diff: 3.9566380977630615, norm: 9.744525909423828
name: model.layers.4.post_attention_layernorm.weight, type: torch.float16, ratio: 0.0011150131467729807, diff: 0.013258812949061394, norm: 11.891172409057617
name: model.layers.5.input_layernorm.weight, type: torch.float16, ratio: 0.10733134299516678, diff: 1.100083351135254, norm: 10.24941349029541
name: model.layers.5.post_attention_layernorm.weight, type: torch.float16, ratio: 0.005524162668734789, diff: 0.062443822622299194, norm: 11.303762435913086
name: model.layers.6.input_layernorm.weight, type: torch.float16, ratio: 0.05061621591448784, diff: 0.5109289884567261, norm: 10.094176292419434
name: model.layers.6.post_attention_layernorm.weight, type: torch.float16, ratio: 0.00264729093760252, diff: 0.029374629259109497, norm: 11.096109390258789
name: model.layers.7.input_layernorm.weight, type: torch.float16, ratio: 0.19337497651576996, diff: 1.9547123908996582, norm: 10.108404159545898
name: model.layers.7.post_attention_layernorm.weight, type: torch.float16, ratio: 0.006438359618186951, diff: 0.07023706287145615, norm: 10.909154891967773
name: model.layers.8.input_layernorm.weight, type: torch.float16, ratio: 0.024304069578647614, diff: 0.23494428396224976, norm: 9.6668701171875
name: model.layers.8.post_attention_layernorm.weight, type: torch.float16, ratio: 0.00365186994895339, diff: 0.038741327822208405, norm: 10.608627319335938
name: model.layers.9.input_layernorm.weight, type: torch.float16, ratio: 0.02842257358133793, diff: 0.2882789671421051, norm: 10.142605781555176
name: model.layers.9.post_attention_layernorm.weight, type: torch.float16, ratio: 0.004420505370944738, diff: 0.045892685651779175, norm: 10.381772994995117
name: model.layers.10.input_layernorm.weight, type: torch.float16, ratio: 0.007086317054927349, diff: 0.07504201680421829, norm: 10.589706420898438
name: model.layers.10.post_attention_layernorm.weight, type: torch.float16, ratio: 0.0005232912371866405, diff: 0.005541876424103975, norm: 10.590424537658691
name: model.layers.11.input_layernorm.weight, type: torch.float16, ratio: 0.001914546126499772, diff: 0.019879721105098724, norm: 10.383516311645508
name: model.layers.11.post_attention_layernorm.weight, type: torch.float16, ratio: 0.0009593474678695202, diff: 0.010473944246768951, norm: 10.917779922485352
name: model.layers.12.input_layernorm.weight, type: torch.float16, ratio: 0.022525951266288757, diff: 0.2370758354663849, norm: 10.524564743041992
