name: model.layers.0.input_layernorm.weight, type: torch.float16, ratio: 0.0016148928552865982, diff: 0.011513526551425457, norm: 7.129591464996338
name: model.layers.0.post_attention_layernorm.weight, type: torch.float16, ratio: 0.006401839200407267, diff: 0.06015564128756523, norm: 9.396618843078613
name: model.layers.1.input_layernorm.weight, type: torch.float16, ratio: 0.22861149907112122, diff: 0.9147809743881226, norm: 4.001465320587158
name: model.layers.1.post_attention_layernorm.weight, type: torch.float16, ratio: 0.023211561143398285, diff: 0.19153955578804016, norm: 8.251903533935547
name: model.layers.2.input_layernorm.weight, type: torch.float16, ratio: 1.814108967781067, diff: 10.712503433227539, norm: 5.905104637145996
name: model.layers.2.post_attention_layernorm.weight, type: torch.float16, ratio: 0.00023047387367114425, diff: 0.0024495969992130995, norm: 10.628523826599121
name: model.layers.3.input_layernorm.weight, type: torch.float16, ratio: 0.08588434010744095, diff: 0.6244720816612244, norm: 7.271081924438477
name: model.layers.3.post_attention_layernorm.weight, type: torch.float16, ratio: 0.006951061077415943, diff: 0.07423964142799377, norm: 10.68033218383789
name: model.layers.4.input_layernorm.weight, type: torch.float16, ratio: 0.1021956205368042, diff: 0.8088169693946838, norm: 7.91439962387085
name: model.layers.4.post_attention_layernorm.weight, type: torch.float16, ratio: 0.0004679009725805372, diff: 0.005276322364807129, norm: 11.276578903198242
name: model.layers.5.input_layernorm.weight, type: torch.float16, ratio: 0.06547227501869202, diff: 0.5905293226242065, norm: 9.019532203674316
name: model.layers.5.post_attention_layernorm.weight, type: torch.float16, ratio: 0.001975265797227621, diff: 0.021511463448405266, norm: 10.890414237976074
name: model.layers.6.input_layernorm.weight, type: torch.float16, ratio: 0.01672845333814621, diff: 0.15111438930034637, norm: 9.033374786376953
name: model.layers.6.post_attention_layernorm.weight, type: torch.float16, ratio: 0.0009187055984511971, diff: 0.009914232417941093, norm: 10.791522979736328
