name: model.layers.0.input_layernorm.weight, type: torch.float16, ratio: 0.0016170140588656068, diff: 0.011513526551425457, norm: 7.120238780975342
name: model.layers.0.post_attention_layernorm.weight, type: torch.float16, ratio: 0.006189221981912851, diff: 0.05801043286919594, norm: 9.372815132141113
name: model.layers.1.input_layernorm.weight, type: torch.float16, ratio: 0.22472557425498962, diff: 0.8978996872901917, norm: 3.9955384731292725
name: model.layers.1.post_attention_layernorm.weight, type: torch.float16, ratio: 0.023239249363541603, diff: 0.19144584238529205, norm: 8.238039016723633
name: model.layers.2.input_layernorm.weight, type: torch.float16, ratio: 1.8169482946395874, diff: 10.713375091552734, norm: 5.896356582641602
name: model.layers.2.post_attention_layernorm.weight, type: torch.float16, ratio: 0.00022972087026573718, diff: 0.002437543822452426, norm: 10.610894203186035
name: model.layers.3.input_layernorm.weight, type: torch.float16, ratio: 0.0853407010436058, diff: 0.6185706257820129, norm: 7.24824857711792
name: model.layers.3.post_attention_layernorm.weight, type: torch.float16, ratio: 0.007025916129350662, diff: 0.07481972128152847, norm: 10.649105072021484
name: model.layers.4.input_layernorm.weight, type: torch.float16, ratio: 0.09938700497150421, diff: 0.7841103076934814, norm: 7.889464855194092
name: model.layers.4.post_attention_layernorm.weight, type: torch.float16, ratio: 0.00047150434693321586, diff: 0.005292470566928387, norm: 11.224648475646973
name: model.layers.5.input_layernorm.weight, type: torch.float16, ratio: 0.06402158737182617, diff: 0.5750804543495178, norm: 8.9826021194458
name: model.layers.5.post_attention_layernorm.weight, type: torch.float16, ratio: 0.0020633675158023834, diff: 0.02240060269832611, norm: 10.856331825256348
name: model.layers.6.input_layernorm.weight, type: torch.float16, ratio: 0.01660558208823204, diff: 0.14947544038295746, norm: 9.001517295837402
name: model.layers.6.post_attention_layernorm.weight, type: torch.float16, ratio: 0.0009072567918337882, diff: 0.009759741835296154, norm: 10.75741958618164
name: model.layers.7.input_layernorm.weight, type: torch.float16, ratio: 0.042905740439891815, diff: 0.3973044157028198, norm: 9.259936332702637
